Protein	20161003_004_10188	20161003_006_686	20161003_007_534	20161003_009_10201	20161003_010_10132	20161003_012_10130	20161003_013_217	20161003_015_442	20161003_016_10206	20161003_019_10217	20161003_020_407	20161003_022_10204	20161003_023_397	20161003_025_523	20161003_026_10198	20161003_028_562	20170428_02_heartbiopsy_1	20170428_03_heartbiopsy_2	20170428_05_heartbiopsy_4	20170428_06_heartbiopsy_5	20170428_11_heartbiopsy_3
sp|Q52LJ0|FA98B_HUMAN	12.235225	11.273493	10.967329	9.378372	10.101643	10.124872	10.509437	10.599345	9.533587	10.330952	10.535569	10.006126	10.587345	11.001091	10.588372	9.596385	9.50273	NaN	9.763638	9.353937	14.804205
sp|Q53GG5|PDLI3_HUMAN	15.369557	14.841353	13.731312	15.666806	16.575752	16.810146	13.388586	14.670627	15.069059	14.432032	14.742066	15.232045	14.274636	14.7641	16.452606	15.900784	16.225414	15.566328	16.359205	14.23796	17.814281
sp|Q53GQ0|DHB12_HUMAN	11.832603	11.221698	11.103392	11.148989	7.378482	7.739542	11.346907	10.075912	9.645861	10.61562	10.922863	10.073716	9.467133	11.176416	8.649198	NaN	11.811538	12.117394	8.81036	9.710837	NaN
sp|Q53GS7|GLE1_HUMAN	11.194333	12.4670315	10.430278	11.109696	11.203824	13.293864	10.499585	12.276006	10.197576	10.440632	11.434234	12.472627	12.334783	11.976305	12.287855	11.395571	NaN	NaN	NaN	NaN	7.5933075
sp|Q53H12|AGK_HUMAN	12.831742	12.447419	12.919953	12.196521	11.504854	10.69482	13.330525	12.926476	12.31612	12.964554	13.134537	11.655873	12.326665	13.367081	12.007081	9.021618	NaN	NaN	NaN	NaN	NaN
sp|Q567U6|CCD93_HUMAN	6.0138803	6.3309245	6.152616	10.465816	7.678267	9.926902	7.250683	6.6190286	10.209279	7.766562	7.6518745	6.7506323	8.713741	7.0206466	7.2998095	9.433872	14.380264	14.516571	14.148816	13.644437	NaN
sp|Q5BKX8|MURC_HUMAN	14.905013	14.536634	14.984899	14.144905	14.912372	14.650804	15.917528	15.052856	14.335586	15.057518	14.832426	14.91053	15.347579	15.37443	14.668524	13.952188	9.831132	NaN	2.073522	9.074305	15.815019
sp|Q5HYK3|COQ5_HUMAN	12.982691	12.217336	12.868673	12.766139	12.222694	13.201214	12.803741	12.649327	12.7798605	13.114271	12.773131	13.109533	12.834447	12.461066	12.912767	12.684176	13.434716	13.933932	15.481066	13.982178	13.6744375
sp|Q5JPE7|NOMO2_HUMAN	11.070598	12.030389	12.064155	12.024838	11.121033	11.586017	12.9351425	12.2612095	10.846409	11.34227	12.157055	11.209602	11.928683	12.297095	11.190781	10.253859	NaN	NaN	NaN	NaN	NaN
sp|Q5JRX3|PREP_HUMAN	10.574507	11.174733	10.835685	11.595256	9.808711	11.42454	11.057378	11.775852	12.078266	11.122061	9.556594	10.469273	11.253088	9.865931	10.766317	8.332375	NaN	7.2229333	5.2779956	9.326526	NaN
sp|Q5JTJ3|COA6_HUMAN	11.017431	11.770286	10.819534	11.4417	12.119335	13.809497	11.36904	12.653286	11.649358	11.596148	11.785928	12.602663	12.187279	12.215845	12.536931	12.783852	11.588123	NaN	NaN	NaN	3.5003006
sp|Q5JTV8|TOIP1_HUMAN	7.7504435	6.448895	8.058747	5.9480767	7.2819514	8.97112	7.139106	7.2706604	6.7382445	5.4891233	6.4698577	6.033203	5.5659533	5.000263	-0.70970035	5.637575	NaN	NaN	NaN	9.426223	NaN
sp|Q5JWF2|GNAS1_HUMAN	12.033728	12.006674	12.460032	11.900508	10.302387	10.228876	11.807092	11.260627	11.599197	11.157038	11.420941	11.979761	11.302487	12.344081	10.858229	10.668642	13.023873	14.569836	13.06127	12.546462	15.105507
sp|Q5SSJ5|HP1B3_HUMAN	10.899071	11.059562	11.484127	10.650969	11.475361	10.83399	11.491113	11.10481	10.386098	11.229195	11.699361	11.270992	11.082031	11.314891	10.160013	10.2698765	16.638496	15.885772	16.904594	16.637362	17.269459
sp|Q5SV97|PERM1_HUMAN	7.467126	7.9587927	7.9441876	7.6879334	7.76338	7.7602715	10.002568	9.747745	8.485113	10.159746	8.612647	9.699521	8.976996	7.740795	7.322296	6.9776406	NaN	6.6313553	NaN	NaN	NaN
sp|Q5T440|CAF17_HUMAN	11.95964	12.234854	11.703199	12.159569	11.244894	12.469127	12.560031	11.639388	11.800676	12.228788	11.570707	12.033185	10.389774	11.93591	12.034951	11.752678	5.9480295	11.262932	13.514069	12.543348	NaN
sp|Q5T8P6|RBM26_HUMAN	6.1967554	NaN	7.034665	NaN	7.652939	6.4444036	7.432525	7.9757395	NaN	9.727243	9.695077	10.135084	9.563434	9.928501	8.751878	6.974211	NaN	NaN	NaN	NaN	9.879327
sp|Q5T9S5|CCD18_HUMAN	11.305966	12.296501	11.587068	12.176885	11.471347	12.392314	12.874728	12.067806	12.693576	12.249126	12.018917	12.794577	12.332189	12.412227	12.746928	13.092715	NaN	NaN	NaN	NaN	9.983988
sp|Q5TC12|ATPF1_HUMAN	8.922775	9.6528635	8.118934	3.2114716	7.68711	8.275614	9.752439	10.368105	0.7698072	6.546961	9.80537	7.660982	8.321681	9.841135	8.667739	1.4200195	8.912149	9.271323	8.981397	9.956623	NaN
sp|Q5TZA2|CROCC_HUMAN	12.660662	13.402319	12.862823	10.6608925	11.090651	13.59497	12.85613	11.94497	11.760643	11.950069	11.584698	11.869111	12.039706	12.320095	11.522025	11.734063	12.727443	9.381946	8.285525	12.783838	7.856642
sp|Q5VST9|OBSCN_HUMAN	16.138948	14.15456	16.190622	13.833782	15.348165	12.868455	16.462833	15.728993	14.513135	16.104689	16.50126	15.230375	16.480404	16.599585	14.292927	13.122587	22.431992	21.79879	21.74902	21.885185	13.284085
sp|Q5VTT5|MYOM3_HUMAN	14.964351	15.67599	15.280635	15.36317	15.349415	15.627358	15.44071	14.987659	15.578842	15.250954	14.860361	14.907124	15.114046	15.191366	15.281685	15.259497	16.488525	16.330702	16.02658	16.022038	16.873943
sp|Q5VWP3|MLIP_HUMAN	13.564436	13.8918	13.73078	14.032425	14.348697	14.948991	13.433549	13.742552	14.519892	13.541651	13.418408	13.88134	13.935885	13.40969	14.053246	14.556232	13.598504	14.220089	13.748142	13.822964	15.104226
sp|Q5VWZ2|LYPL1_HUMAN	12.154822	12.092187	11.997713	11.766575	10.967729	11.021433	12.339763	11.638027	11.733033	12.415138	11.534168	11.3781805	11.73596	12.321845	11.549639	11.60535	9.466049	9.428857	9.407595	9.56497	11.650746
sp|Q5VZP5|DUS27_HUMAN	9.603554	10.380047	9.757349	11.121426	9.850527	12.595399	9.431591	7.440467	10.606833	9.918392	NaN	10.0938	NaN	NaN	11.2128525	11.491437	NaN	NaN	NaN	NaN	NaN
sp|Q5XKP0|MIC13_HUMAN	13.306077	12.360616	12.961833	13.101698	11.776598	11.518414	13.938335	13.442118	12.211003	13.562618	13.246962	12.418521	13.611929	13.35513	12.36751	12.240189	12.966584	13.916844	13.780054	13.8883095	13.918819
sp|Q5XPI4|RN123_HUMAN	12.206453	12.698426	11.885874	12.205291	10.473449	9.819204	10.170405	11.519087	12.274592	11.842337	11.862135	10.877259	12.046971	12.37661	11.43085	11.947458	NaN	5.8510838	NaN	NaN	8.3014145
sp|Q63ZY3|KANK2_HUMAN	9.39973	9.317526	9.861038	9.104137	10.331186	10.367059	9.942099	9.401997	9.195836	8.805067	9.45001	9.743458	9.887541	9.189422	7.7270145	10.206052	NaN	NaN	NaN	NaN	11.677272
sp|Q6IBS0|TWF2_HUMAN	10.6064005	10.664444	10.1282215	9.988256	10.694706	10.073259	10.438499	10.744791	10.876003	10.284483	10.598457	10.099615	10.098131	9.982073	10.520891	8.915709	NaN	NaN	NaN	NaN	5.546723
sp|Q6IQ16|SPOPL_HUMAN	9.0388365	8.811474	9.721071	8.798049	9.341332	9.495548	9.949988	9.932123	8.414058	9.939396	9.58354	9.810496	9.997195	10.041672	8.782487	8.728769	NaN	NaN	NaN	NaN	NaN
sp|Q6NUK1|SCMC1_HUMAN	10.992099	10.348639	11.028028	10.106914	11.26355	11.1011	11.340021	10.935171	11.407416	11.686003	10.976932	11.244202	11.432699	10.87991	10.824587	11.347772	12.520113	10.181039	10.487701	11.173897	NaN
sp|Q6NVY1|HIBCH_HUMAN	12.687313	12.64192	11.879389	12.676372	11.575897	12.647229	11.401338	11.656166	12.627113	11.643864	11.570394	12.0425825	11.170628	11.894857	12.030781	12.877513	6.5547266	10.83695	10.395582	10.257026	9.0828905
sp|Q6NZI2|PTRF_HUMAN	14.81404	14.677004	15.166881	15.651819	16.862785	16.687197	15.422715	15.735488	15.09465	15.863138	15.547515	16.706621	15.860383	15.191641	15.798834	15.688626	11.527111	12.975908	14.733905	12.220483	14.459762
sp|Q6P2Q9|PRP8_HUMAN	14.469324	14.104061	14.926547	14.744898	14.66121	14.820312	15.427941	14.651382	14.565045	14.753284	13.87521	14.492959	14.345281	14.113694	14.72537	14.799892	11.851872	9.451849	9.9387245	9.942514	12.690517
sp|Q6P587|FAHD1_HUMAN	13.49562	13.420265	13.021337	13.582651	12.9588785	13.967702	14.014912	14.058062	13.912583	13.795891	12.923277	13.391435	13.740896	13.3279705	13.926163	13.6813345	10.560545	12.81481	14.170955	12.475636	13.703957
