Protein	20161003_004_10188	20161003_006_686	20161003_007_534	20161003_009_10201	20161003_010_10132	20161003_012_10130	20161003_013_217	20161003_015_442	20161003_016_10206	20161003_019_10217	20161003_020_407	20161003_022_10204	20161003_023_397	20161003_025_523	20161003_026_10198	20161003_028_562	20170428_02_heartbiopsy_1	20170428_03_heartbiopsy_2	20170428_05_heartbiopsy_4	20170428_06_heartbiopsy_5	20170428_11_heartbiopsy_3
sp|A1L0T0|ILVBL_HUMAN	12.463498	11.903906	12.071905	13.133878	10.548961	8.619487	11.375018	9.627901	12.158074	11.135233	11.187011	10.944781	10.874968	11.603135	11.331554	10.382378	11.6469555	NaN	NaN	NaN	8.729828
sp|A3KMH1|VWA8_HUMAN	13.032144	12.979032	14.399142	13.115706	14.971911	15.662189	14.604803	14.920118	13.345534	14.385851	14.7342825	15.402789	15.498973	14.412541	13.506934	12.908842	11.510939	12.060577	12.178987	11.359459	9.790951
sp|A4UGR9|XIRP2_HUMAN	12.465093	12.173778	13.218131	10.4555435	10.331354	11.234292	13.810864	11.729611	10.797247	11.17832	11.749133	11.07199	11.406858	13.068944	11.095141	10.661728	12.782197	11.611509	12.250915	13.581381	14.875923
sp|A6NCE7|MP3B2_HUMAN : sp|Q9GZQ8|MLP3B_HUMAN	9.347002	8.054365	9.106958	6.8331146	10.680206	8.785233	9.176746	9.142199	7.125289	9.445305	9.205526	9.642097	8.547652	8.807067	8.751064	7.3456063	NaN	NaN	NaN	NaN	NaN
sp|A6NDG6|PGP_HUMAN	9.209601	5.552768	10.12239	4.615552	9.307856	6.1608906	10.768883	10.109805	6.2752323	9.800779	9.805928	8.859497	11.077734	9.92972	6.9234705	4.202879	11.586888	10.705186	8.705167	10.948236	NaN
sp|A6NMZ7|CO6A6_HUMAN	10.624899	10.200307	10.890782	8.957384	13.114882	10.411016	10.540857	11.090406	8.324903	10.809185	11.429025	11.822469	10.13329	11.437686	9.619616	8.27564	11.746147	11.152132	9.216269	7.4734955	6.6609807
sp|A8K0Z3|WASH1_HUMAN : sp|A8MWX3|WASH4_HUMAN : sp|C4AMC7|WASH3_HUMAN : sp|Q6VEQ5|WASH2_HUMAN	8.791934	9.751172	9.130694	9.824293	10.07006	12.343863	6.7460585	10.086931	10.171984	9.887585	8.374134	10.419091	8.692305	8.267767	10.805099	10.322078	NaN	NaN	4.077224	NaN	2.838666
sp|B5ME19|EIFCL_HUMAN : sp|Q99613|EIF3C_HUMAN	9.466964	9.283472	9.2033	9.223342	8.493875	8.044103	9.322232	7.6462803	8.409537	8.894083	8.127671	7.816124	6.337965	7.6711025	-2.4419448	7.367606	NaN	NaN	NaN	NaN	NaN
sp|B9A064|IGLL5_HUMAN	11.516445	11.634171	10.872315	12.905552	12.478569	12.146506	12.090587	12.771418	12.580905	11.786142	12.913354	12.503914	12.152166	11.720043	13.439608	13.219077	9.688205	9.214811	8.924633	8.603378	12.934738
sp|E9PAV3|NACAM_HUMAN	14.352099	14.814901	14.50665	15.259089	14.948283	15.355667	14.708567	14.593457	15.134887	14.8536415	14.007824	14.732739	14.786614	14.331226	14.516584	15.282308	13.383621	13.434976	12.44975	12.660242	14.303647
sp|O00151|PDLI1_HUMAN	16.648636	16.988533	16.792995	17.588486	17.196493	17.408564	16.395605	16.292538	16.53017	16.903006	16.362345	17.069382	15.174865	16.368221	17.47905	17.851503	11.502229	13.424845	12.929664	10.753046	21.708803
sp|O00159|MYO1C_HUMAN	12.296645	12.179273	12.334307	12.038002	11.624032	10.507195	12.40971	11.41571	11.320676	11.183977	11.836258	11.558369	11.858603	12.013519	10.774752	10.3455925	10.391875	10.765142	7.8747935	NaN	7.69558
sp|O00193|SMAP_HUMAN	NaN	NaN	5.166649	NaN	8.500108	8.6779	NaN	NaN	NaN	5.442367	NaN	NaN	NaN	NaN	NaN	6.2644143	NaN	NaN	NaN	NaN	NaN
sp|O00217|NDUS8_HUMAN	14.712964	14.682084	14.681958	14.881529	14.629059	15.414819	13.730133	14.605587	15.103761	14.881351	14.416199	14.817479	14.930861	14.584602	15.163838	15.707045	15.139184	16.19852	16.267328	15.434004	16.146954
sp|O00231|PSD11_HUMAN	10.001851	10.176701	10.012417	10.8298235	10.125508	9.881905	9.951309	9.746446	10.25282	10.318605	9.893446	10.134401	9.660393	9.755301	10.048597	10.924966	NaN	NaN	2.4334784	6.4624395	12.475257
sp|O00232|PSD12_HUMAN	10.635649	5.088054	10.637105	8.416676	8.131427	4.1544113	10.427116	9.642088	9.190461	10.343998	10.484385	8.898772	10.240489	10.256066	7.723695	6.7077885	11.07911	11.613509	12.122973	10.251504	NaN
sp|O00299|CLIC1_HUMAN	12.65917	12.335828	12.665565	12.9160795	13.509221	12.554108	12.595312	12.752895	12.968791	12.725718	13.159809	13.2788	12.764431	12.346294	12.498191	12.976056	13.316457	13.992182	14.447086	14.439096	14.928028
sp|O00330|ODPX_HUMAN	13.453452	13.347996	13.6814165	13.793309	13.749342	14.710835	14.429779	13.883019	13.425213	13.899534	13.647077	14.223535	13.81385	13.714765	13.98724	13.868158	13.289359	14.409271	14.6025715	13.457373	13.453441
sp|O00410|IPO5_HUMAN	9.806351	6.9332356	10.063662	5.258968	4.6059937	NaN	9.3176	7.4954576	4.3776183	7.305062	9.793817	5.2336245	7.8506384	9.8370905	6.67727	1.4422777	NaN	NaN	NaN	NaN	NaN
sp|O00429|DNM1L_HUMAN	12.191487	11.818185	12.394759	11.376494	12.215024	12.478781	12.498511	12.059395	11.944118	12.515654	12.263475	12.001042	12.038079	12.159049	11.933982	12.22389	11.66289	12.380187	11.937578	12.637666	14.508361
sp|O00468|AGRIN_HUMAN	10.638421	9.93743	10.1790695	9.899499	9.608661	10.5007925	10.770383	8.848904	9.921632	9.705116	9.415018	8.063443	8.214678	9.050054	9.532374	8.142441	4.888282	9.35788	NaN	NaN	12.00738
sp|O00479|HMGN4_HUMAN	NaN	3.5809128	5.7107086	6.5893345	9.425309	8.958655	7.3328056	7.5879393	4.4824815	6.898775	7.640008	8.469622	6.6772623	7.5401707	7.5767536	8.362752	NaN	NaN	NaN	NaN	NaN
sp|O00483|NDUA4_HUMAN	14.936272	14.778776	15.406608	13.909499	14.21533	14.169707	14.823841	15.603488	14.51001	15.198391	15.474568	14.913225	15.922069	16.096197	14.624085	13.820226	17.73249	16.948067	16.863047	17.46847	16.722569
sp|O00571|DDX3X_HUMAN	9.895041	9.972968	10.2729	9.865888	10.216722	9.955131	10.266579	9.678222	9.641908	10.330906	9.996876	10.0370865	9.782392	9.78306	9.746294	10.025456	NaN	10.463475	9.38706	NaN	7.204699
sp|O00629|IMA3_HUMAN	6.775029	NaN	7.1445146	NaN	NaN	2.985383	7.4266458	3.2286024	NaN	7.4272094	7.655504	4.4101286	7.4588623	8.2814455	NaN	NaN	7.7741127	8.802473	9.39699	NaN	NaN
sp|O00748|EST2_HUMAN	12.3132	12.573593	10.984751	12.766989	11.5478945	11.279093	12.659687	10.627326	13.148068	11.423407	9.994707	11.724817	11.673752	12.276546	11.409768	10.902425	11.742059	10.57778	11.922711	11.387492	10.635286
sp|O00764|PDXK_HUMAN	7.060962	6.0276003	8.213775	NaN	6.8587604	NaN	8.5196295	8.61367	4.608953	8.6451	8.353667	7.432605	8.049909	7.075575	4.877778	0.8129262	9.589174	10.249558	12.418536	11.771243	9.972776
sp|O14548|COX7R_HUMAN	13.953137	13.805388	13.628147	13.796721	13.4370575	14.0494175	13.664243	13.753141	13.072281	13.982019	13.258524	13.003935	12.93279	13.431346	13.250952	13.0818	14.370768	14.1695795	11.794668	13.740471	11.2960205
sp|O14558|HSPB6_HUMAN	17.531916	17.469465	17.500765	17.700245	17.286137	17.120935	16.858816	17.091343	17.211323	16.550117	16.247726	17.399792	16.766373	16.758396	18.230639	17.758814	16.108059	18.768776	17.922033	16.465662	17.699413
sp|O14559|RHG33_HUMAN	11.405595	11.145516	12.006208	10.746282	12.040409	12.075632	12.636908	11.675024	11.396595	12.776348	12.34704	12.456427	12.075133	12.532058	11.636883	11.866395	NaN	4.2548885	9.542815	NaN	NaN
sp|O14561|ACPM_HUMAN	15.444938	15.301475	15.664247	15.186277	15.868285	16.9166	15.016695	16.396648	15.507658	16.130297	15.61753	16.342754	16.389816	16.064701	16.09026	16.152847	16.046305	16.672373	16.859217	17.369892	18.152245
sp|O14639|ABLM1_HUMAN	13.669743	14.051427	13.99039	14.647637	15.020567	15.892758	14.137654	14.664507	14.807483	14.395687	13.880864	14.581108	14.633691	14.049486	14.564728	14.764602	13.87059	14.654268	13.936865	12.739332	13.260744
sp|O14737|PDCD5_HUMAN	10.622699	11.232955	10.819011	10.990311	11.857265	12.173606	10.611134	11.398357	11.220937	10.832012	10.313822	11.597937	10.990171	10.422881	11.6917715	12.17106	6.3618383	9.387174	9.672061	NaN	NaN
sp|O14773|TPP1_HUMAN	14.082551	14.454999	14.447388	14.317838	14.78572	14.583666	14.137247	14.206105	15.045946	14.766144	13.847023	14.19195	13.672889	13.956485	15.067668	14.556883	15.014563	15.065457	14.91896	13.481998	15.613981
sp|O14818|PSA7_HUMAN	13.386672	13.328107	13.395273	13.658387	13.424249	13.795848	13.455402	13.539613	13.506618	13.68873	13.329126	13.632026	13.621519	13.421652	13.516542	13.752459	13.543099	13.192793	12.824308	13.0387335	13.110669
sp|O14880|MGST3_HUMAN	13.805629	15.078254	14.129833	13.98922	11.825824	12.420039	15.063136	15.406461	13.539683	13.584085	14.651618	12.312727	12.770596	15.4630375	13.501645	13.244504	15.0043335	14.32307	13.54491	15.010406	13.717213
sp|O14907|TX1B3_HUMAN	12.339838	12.714488	13.046666	12.766397	13.870966	13.6050625	13.43398	13.459627	12.450375	13.699244	12.851341	13.297682	12.594915	12.835507	13.388751	13.121043	13.666849	14.584621	14.808846	14.1814575	5.587242
sp|O14949|QCR8_HUMAN	14.079826	14.284025	13.858707	14.067269	12.6848955	13.29174	14.511366	14.489754	13.830837	13.368288	14.469046	13.071523	14.994501	15.082453	13.03486	12.95558	15.704813	15.047562	14.668109	13.342326	15.392653
sp|O14950|ML12B_HUMAN : sp|P19105|ML12A_HUMAN	9.326726	8.503525	12.036657	2.0631757	13.1156	10.977958	13.417266	11.748985	NaN	11.480837	12.248055	12.276518	12.2461	11.552114	9.931422	1.2492914	12.919701	15.367959	14.625996	14.543565	13.369832
sp|O14958|CASQ2_HUMAN	17.475765	17.449467	17.60976	18.164665	17.32461	18.343893	17.794073	17.163246	17.673294	17.62791	16.899502	17.529282	17.334785	17.262955	17.959267	18.345371	15.3094225	15.994846	15.809128	16.32391	17.292645
sp|O14974|MYPT1_HUMAN	11.368743	11.218257	11.118341	11.960768	12.101629	12.803912	11.428817	12.120044	12.3998375	12.203726	11.308803	12.861841	12.02887	11.814626	12.595292	12.679498	14.695129	14.90105	12.984203	13.921116	11.986568
sp|O14979|HNRDL_HUMAN	10.171323	9.326584	10.443237	5.3836145	10.703454	8.619568	11.356694	10.23479	8.197679	10.763815	10.697617	10.503721	11.036047	10.405751	8.746789	6.9532075	NaN	6.5620427	11.332091	12.346489	NaN
sp|O15061|SYNEM_HUMAN	12.956076	13.453462	12.767745	13.607624	13.38707	14.1151905	12.447825	12.694261	12.890463	12.960489	12.489694	12.539905	12.201001	12.701405	13.346173	13.591883	12.484648	12.8509865	12.239627	11.308277	20.302183
sp|O15144|ARPC2_HUMAN	9.882272	9.337887	10.525313	8.348032	10.603126	9.2545595	10.752555	10.130315	9.498219	10.685169	11.459431	10.504766	11.174017	10.530737	9.775594	10.202679	9.600567	8.443275	11.121043	6.313674	NaN
sp|O15145|ARPC3_HUMAN	10.639438	10.516132	10.449732	10.288443	11.217204	10.493799	10.23103	10.412295	10.479645	10.178604	10.885349	11.024008	10.078253	10.186308	10.068951	10.422361	NaN	NaN	NaN	NaN	NaN
sp|O15173|PGRC2_HUMAN	12.097694	11.915197	11.512052	11.8904295	11.24076	11.142126	11.985959	10.9482155	10.390023	11.091526	11.482056	10.4852705	10.211333	11.416839	9.209602	10.450925	7.778845	3.166308	13.012226	5.250076	12.366902
sp|O15212|PFD6_HUMAN	9.939829	10.036519	10.279571	9.448817	10.850887	10.062491	9.567123	10.790922	10.164326	10.384941	9.977918	10.773299	10.5622635	10.039558	10.510655	10.773638	NaN	1.4156219	7.7985134	NaN	4.258848
sp|O15230|LAMA5_HUMAN	12.274423	12.762754	12.149742	12.154415	11.999455	11.899631	12.608747	10.851679	12.193351	11.996977	11.813662	11.659015	12.174869	12.079604	11.446363	11.921742	12.085832	9.791957	9.771382	10.991682	8.142416
sp|O15239|NDUA1_HUMAN	11.798958	11.598524	11.793932	11.441281	10.230701	10.293836	8.590724	11.483032	11.436278	11.35284	11.467473	10.64345	12.259301	11.882814	10.680325	10.796214	NaN	8.57304	10.834361	11.871097	9.925428
sp|O15273|TELT_HUMAN	13.108741	13.079717	13.612037	13.450347	13.696211	12.680995	14.347388	12.789346	13.633326	13.710182	12.767291	13.054583	12.722875	12.507131	13.164298	12.765548	6.670578	13.404936	12.5215225	11.008797	13.697894
sp|O15327|INP4B_HUMAN	10.187998	10.807711	10.546291	10.619977	10.100537	12.852508	10.964201	11.259429	12.003772	11.153395	10.275965	11.917831	11.135984	11.013042	11.750607	11.99748	5.5485086	4.351284	6.645455	5.792984	NaN
sp|O15372|EIF3H_HUMAN	9.278692	9.729102	9.293731	9.466901	10.184445	10.12847	9.642735	8.717945	9.427337	9.112154	8.300978	9.300307	7.7133493	7.715473	8.708556	9.782938	NaN	NaN	8.019865	NaN	NaN
sp|O15382|BCAT2_HUMAN	13.8238735	13.871628	13.748347	14.002942	13.291278	12.666884	13.9284935	13.719491	14.489717	14.275072	13.857069	13.933996	13.915215	14.192471	14.105318	14.004298	10.643064	11.111997	11.913349	11.500565	14.712509
sp|O15400|STX7_HUMAN	11.1144705	11.8321085	11.378694	11.389899	11.305795	10.765441	11.229783	11.369884	11.283478	11.042158	10.859264	11.025391	10.689733	10.905059	9.477619	11.304089	10.670432	6.821168	6.909125	NaN	13.149674
sp|O15511|ARPC5_HUMAN	7.478473	6.954909	7.816809	6.5381613	9.603465	7.78856	7.7115464	8.256139	7.716723	7.941239	8.4369955	8.840684	7.9782	7.030741	6.2607317	8.612637	9.314459	NaN	9.192428	NaN	11.534004
sp|O43169|CYB5B_HUMAN	9.80502	8.3561125	9.957684	9.727266	9.559379	NaN	11.287934	9.579357	5.8455863	3.2796354	9.819131	5.3005524	10.438903	9.273032	4.2825747	5.2512665	13.540465	13.572642	9.103781	7.4010115	NaN
sp|O43181|NDUS4_HUMAN	18.594707	18.292604	18.118853	18.325918	18.603704	19.241846	17.693525	17.760338	18.034464	18.131308	17.16789	17.670908	17.350426	17.520721	18.378887	18.333649	15.541903	16.191843	16.673073	15.868492	17.29057
sp|O43237|DC1L2_HUMAN	9.798418	9.116866	9.435658	8.6581335	10.546903	9.20324	9.977319	9.618923	9.308178	8.840427	9.916064	9.632928	9.53901	9.613892	8.345537	8.995186	NaN	NaN	NaN	NaN	NaN
sp|O43242|PSMD3_HUMAN	11.268195	10.95116	11.311586	10.44695	10.580352	8.794329	11.582142	10.366903	10.29647	10.747898	11.141986	9.9103775	10.790513	11.024271	9.459012	8.122981	2.166491	NaN	NaN	6.861663	10.5509615
sp|O43301|HS12A_HUMAN	9.170438	8.671376	8.59436	6.846219	9.112351	7.186045	8.935412	8.41792	8.967839	7.6737723	8.764169	8.586845	7.9003115	7.83714	6.3328876	6.0958705	NaN	NaN	NaN	NaN	NaN
sp|O43390|HNRPR_HUMAN	11.184837	11.302215	11.0910635	11.068958	11.7458935	11.536781	10.886008	10.825363	11.467551	11.026442	10.901003	11.126312	10.655476	10.360744	11.242731	11.930927	6.905139	9.9403105	12.074636	11.884124	12.862976
sp|O43396|TXNL1_HUMAN	12.282591	12.973023	12.449813	12.840055	12.835929	12.899503	11.95534	12.402837	12.751518	12.406702	12.3289385	12.704845	12.794259	12.166404	13.133515	13.716948	NaN	NaN	7.8100324	5.1908693	10.158089
sp|O43399|TPD54_HUMAN	14.981497	14.225136	14.786754	14.556006	14.15205	13.678471	15.269752	14.699439	14.739327	15.036228	14.708922	14.338634	14.645321	14.914751	14.757671	14.333804	13.198191	13.828129	13.666446	14.146676	13.367328
sp|O43488|ARK72_HUMAN	11.94321	11.710435	11.515739	11.573019	11.388088	12.135789	11.755424	11.998991	11.010307	11.901852	11.445729	11.574848	11.654206	11.5515375	11.421012	12.193749	13.141756	13.251082	13.852733	14.402408	15.574679
sp|O43491|E41L2_HUMAN	11.322164	11.72092	11.722041	11.152602	12.688555	11.485288	10.711537	10.955978	11.773967	11.442068	11.32913	11.790682	11.510204	10.29039	10.940175	11.72991	9.182448	NaN	8.631304	10.309517	12.573909
sp|O43583|DENR_HUMAN	9.8130665	10.193477	10.032584	9.602812	11.374662	11.7058115	10.497592	10.423313	9.700815	10.715805	10.054082	10.56163	10.226725	10.378533	10.855798	10.347977	10.53709	8.609966	9.045654	2.5663595	NaN
sp|O43615|TIM44_HUMAN	8.9007635	9.701905	9.401045	9.25137	9.149104	9.250979	11.206621	8.816157	10.0120535	9.044697	9.286089	9.098019	9.530272	9.332982	8.015904	9.475852	8.228894	2.562213	5.7190113	5.9220495	NaN
sp|O43674|NDUB5_HUMAN	14.584804	14.795342	14.360355	14.51051	12.216072	12.019077	12.197351	13.719344	14.395842	13.660082	13.761546	12.660371	14.162944	14.596618	13.39463	13.90614	14.835875	12.962616	12.984247	13.589466	9.992217
sp|O43676|NDUB3_HUMAN	14.038053	14.072629	14.480769	13.465299	13.4621105	14.234167	12.293005	14.259204	13.659299	14.322769	14.308823	13.55172	15.094494	14.594111	13.222768	13.230892	13.809562	11.990872	12.457816	13.770778	12.205879
sp|O43678|NDUA2_HUMAN	16.045776	16.366892	16.049248	16.574713	16.148436	17.747871	14.627432	16.365253	16.686548	16.465977	15.963319	16.327097	16.53814	16.077234	16.659174	17.617552	16.579702	16.555178	16.976034	16.640444	17.598572
sp|O43707|ACTN4_HUMAN	13.575064	13.14232	13.754342	13.033451	14.318716	13.139751	14.730307	13.387391	13.648299	13.685942	13.750358	13.977966	13.228909	12.992306	13.191197	12.7505665	15.292049	14.983684	17.068495	13.426514	17.846733
sp|O43765|SGTA_HUMAN	11.908607	12.533495	12.567218	12.663075	12.150301	12.20208	12.86216	11.889081	12.176332	12.295519	12.194349	11.715653	12.205456	12.509454	12.357782	11.916635	11.161371	10.95736	10.434711	10.84072	NaN
sp|O43772|MCAT_HUMAN	13.1256	12.236278	12.223945	11.441138	10.295428	11.075938	12.943261	12.185413	11.260796	12.569475	11.819955	11.180114	12.272005	13.286101	11.081793	10.779874	13.863403	12.188173	12.084803	11.688008	12.248377
sp|O43776|SYNC_HUMAN	6.904683	5.4915767	7.9410653	NaN	4.9354787	NaN	7.0367584	5.842387	3.4561906	6.478628	7.1855927	4.874262	6.4432535	7.339916	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O43813|LANC1_HUMAN	11.46203	11.188916	11.616426	11.24057	12.01991	11.431758	11.848019	11.983497	10.496492	11.800222	11.575991	12.214673	11.75551	12.268928	11.156108	11.028052	10.561787	10.92752	10.038628	9.040801	10.178192
sp|O43837|IDH3B_HUMAN	13.901537	14.468877	14.210286	14.564605	14.544889	16.09918	15.100752	14.986799	14.649562	14.8112755	14.037047	14.682807	15.071395	14.470302	14.794507	14.85019	12.43608	14.185617	13.999963	14.797556	9.975796
sp|O43852|CALU_HUMAN	11.817592	11.423094	11.047245	11.256675	13.170825	13.077735	12.300161	12.463012	11.452389	11.990652	12.073687	12.937802	12.271167	12.051818	12.367984	11.339729	10.571442	13.826696	13.526706	12.57098	10.992094
sp|O43920|NDUS5_HUMAN	14.601675	15.176797	14.819385	16.034407	15.019051	16.156094	12.631748	15.157192	15.120632	15.086504	14.6679735	15.193889	15.391103	14.82898	15.37776	16.246618	16.318079	16.20831	16.582203	16.69223	11.101227
sp|O60220|TIM8A_HUMAN	12.296351	11.8738165	11.582253	11.774202	12.264015	13.572693	12.2469015	12.23034	12.264994	12.237272	11.256769	12.187498	11.649482	11.474762	12.686455	13.033718	9.40462	11.97021	12.742513	12.281114	12.660303
sp|O60237|MYPT2_HUMAN	13.207597	13.677955	12.67889	13.519312	14.294618	15.73338	13.5321665	14.06294	14.001994	13.431057	13.595945	14.258415	14.011885	13.73947	14.639866	14.746556	14.165228	14.169961	14.095788	14.55279	15.058259
sp|O60240|PLIN1_HUMAN	8.521091	12.262081	11.317869	8.974595	13.544812	10.474569	10.114439	9.91895	8.84026	10.1331215	10.522783	15.69481	9.073082	9.079988	13.218245	12.123486	8.000624	8.2722645	9.63265	12.016069	7.525323
sp|O60313|OPA1_HUMAN	12.898504	12.755346	12.525817	12.291379	12.143692	12.148029	13.6252575	12.395414	12.405448	13.294924	12.566878	12.60512	12.354917	12.8095255	12.621258	12.321303	9.795736	11.077869	12.457135	12.241215	NaN
sp|O60437|PEPL_HUMAN	6.5637417	7.2439055	6.6984286	6.59156	6.599592	6.5254755	5.8874426	5.9341936	6.7154756	6.257581	4.197571	10.203901	4.057512	5.0250206	6.353216	7.322382	14.751889	11.412405	10.833783	11.789519	NaN
sp|O60493|SNX3_HUMAN	11.180466	11.898002	11.305575	11.834939	12.296233	11.96342	11.087421	11.536359	11.836385	11.637955	11.157381	12.058572	11.386035	11.18158	11.858098	12.404471	12.46492	9.885893	9.227312	11.003926	9.239611
sp|O60506|HNRPQ_HUMAN	11.453355	11.491603	11.168347	11.430424	12.145847	12.176508	11.4227495	11.171671	11.4686775	11.272755	11.34534	11.840378	11.250517	10.974145	11.5145645	11.748897	9.0598955	7.6359553	8.1182995	9.099406	11.168569
sp|O60662|KLH41_HUMAN	8.146291	8.370351	8.301991	5.4616795	5.785998	5.4230804	10.307555	8.582262	2.883823	8.408518	9.185802	6.796728	8.569913	9.392094	6.042177	7.906581	NaN	11.831932	NaN	NaN	NaN
sp|O60664|PLIN3_HUMAN	12.960356	13.610899	12.775715	11.555119	12.324972	13.051104	11.965533	13.125263	11.998534	12.660368	13.59996	12.332403	12.648551	13.777689	12.919784	12.680718	NaN	11.854021	NaN	5.9209576	10.311611
sp|O60716|CTND1_HUMAN	7.9683766	2.9066634	8.388029	6.8449683	7.848892	5.408249	7.334457	7.38521	6.589311	8.238594	7.768343	6.437151	7.6298122	6.4600563	7.603075	NaN	NaN	NaN	NaN	NaN	NaN
sp|O60739|EIF1B_HUMAN	9.399086	10.717468	9.440447	10.702912	9.963665	10.393063	9.928541	10.357267	9.094784	9.374311	9.981059	10.081104	10.40676	9.860202	10.435464	11.1090145	9.149346	9.841411	9.768949	11.002758	15.767152
sp|O60763|USO1_HUMAN	11.561361	11.656157	11.207606	11.7824135	11.358204	11.069404	10.73514	11.026695	11.551783	11.497803	10.9695015	10.780855	10.730288	10.70408	10.748964	10.595464	10.493974	9.456151	9.561381	9.261874	10.189676
sp|O60884|DNJA2_HUMAN	10.279367	11.347939	9.811826	8.211359	10.660194	12.157109	10.545733	11.455607	7.2675633	9.732328	11.027222	10.2655525	10.449625	11.181089	11.000844	10.418072	10.685496	9.107834	8.79464	11.3876	NaN
sp|O60888|CUTA_HUMAN	12.307256	12.38275	12.960267	12.598485	12.723631	12.553277	12.659105	12.975203	12.911404	12.598228	12.83443	12.380947	13.004859	12.437192	12.877517	13.226051	13.215363	15.077787	15.742007	14.907687	16.568432
sp|O60936|NOL3_HUMAN	9.4142685	10.050864	10.302983	8.08307	9.713797	8.887869	10.092964	11.136655	8.285621	9.811853	10.612068	9.171652	10.516581	10.563961	9.202832	8.971089	NaN	NaN	7.703098	NaN	NaN
sp|O75083|WDR1_HUMAN	14.674432	14.740311	14.702542	15.252586	14.5959835	14.577149	14.047765	14.418243	16.666	14.043419	14.455803	14.112447	13.906684	14.262054	14.774235	14.778503	14.633138	14.921196	15.550196	13.225842	12.553806
sp|O75112|LDB3_HUMAN	20.031263	19.763659	20.485504	20.090384	20.396473	20.340479	20.919746	20.317863	20.649902	19.776289	20.797443	20.80828	21.331177	20.74036	21.214003	20.128574	20.449038	20.816364	20.65416	20.523651	21.63484
sp|O75131|CPNE3_HUMAN	12.526622	13.04204	12.7515745	11.97037	11.556545	11.475619	12.4714	11.963579	12.04074	12.198622	12.303221	10.749019	11.415967	12.143573	10.987454	11.691863	8.614974	NaN	NaN	2.4068847	NaN
sp|O75155|CAND2_HUMAN	7.890569	7.5144944	9.728953	5.8833594	7.556683	NaN	8.379015	7.417919	5.9376655	8.549435	9.132372	5.955902	6.983682	9.248212	3.681627	NaN	NaN	NaN	NaN	NaN	NaN
sp|O75179|ANR17_HUMAN	15.874389	17.125425	15.839723	16.268171	15.512399	15.985145	14.02039	15.418988	16.650297	15.924656	15.1210375	15.681296	14.793546	15.965309	16.291105	16.187386	16.338074	16.650097	15.259613	15.562157	18.071825
sp|O75190|DNJB6_HUMAN	12.003651	12.077381	12.099223	12.349414	12.141335	12.097492	12.390161	11.304106	11.998386	12.005432	10.722897	11.020269	10.734884	11.335527	11.149229	11.524578	11.8821945	10.446473	8.88946	10.792534	9.458635
sp|O75208|COQ9_HUMAN	13.931104	13.905442	13.665938	13.942696	13.972475	15.554998	14.158557	14.460013	14.055927	14.341822	14.077578	14.799805	14.481393	14.138938	14.841353	15.095282	14.037341	14.126308	13.42912	14.507767	10.832129
sp|O75251|NDUS7_HUMAN	13.825674	13.391378	14.040386	13.237575	14.717484	14.383201	13.362081	14.459324	13.078889	14.193253	13.45964	14.641512	14.409439	14.295363	15.315929	14.741391	15.4280815	14.2484	14.326945	15.037244	17.74477
sp|O75306|NDUS2_HUMAN	15.820893	15.97212	15.702568	15.514366	13.9178705	14.190906	14.351666	15.312619	15.568333	15.655592	15.239593	14.428062	15.778699	16.08208	14.736127	15.126659	15.962626	14.396207	14.6520405	15.65698	12.671966
sp|O75323|NIPS2_HUMAN	14.680019	14.932591	14.581228	14.978335	14.526787	15.410829	14.762763	15.023402	14.933116	14.68215	14.591091	15.049452	14.72836	15.098808	15.215614	15.617342	15.323863	14.842151	14.980322	15.401545	16.088749
sp|O75339|CILP1_HUMAN	13.680271	13.3185835	11.711299	11.562842	12.46924	11.040361	11.091922	11.693605	10.919948	10.6633625	10.706706	11.408669	9.832308	11.470562	10.51247	9.587788	10.206646	5.736877	7.3644037	10.341643	12.268094
sp|O75347|TBCA_HUMAN	11.464559	12.588554	11.424335	12.568907	12.501657	12.453252	10.599663	12.125032	12.2367935	11.502977	11.090492	12.014916	11.077082	11.165644	12.506786	13.269395	10.287138	8.247417	5.9443626	3.22017	13.218021
sp|O75367|H2AY_HUMAN	14.935673	14.522755	14.6279955	14.720996	14.578592	14.008926	14.648456	14.022267	14.596964	14.346043	14.412753	14.363416	14.168393	14.084161	13.738061	13.9531	10.678199	NaN	8.697603	10.13319	8.488581
sp|O75368|SH3L1_HUMAN	9.922242	11.744035	10.064263	12.888642	12.454974	13.657581	9.760553	11.602206	12.460409	11.236071	10.429336	11.880208	10.464402	9.475414	12.688182	12.626884	NaN	6.4062414	8.903992	10.108392	NaN
sp|O75369|FLNB_HUMAN	8.867423	9.29482	8.818879	9.013793	11.701418	10.527649	10.54857	9.730918	9.282083	9.762646	10.135406	11.13424	9.776724	9.795812	8.585712	10.560693	NaN	NaN	NaN	NaN	10.6760645
sp|O75380|NDUS6_HUMAN	14.875094	16.152039	14.953808	16.14056	15.491586	17.245848	11.420641	15.92784	16.375511	15.3954735	14.51554	15.35403	14.962664	14.763847	16.428635	16.976807	15.963711	15.63169	15.760573	15.270912	16.954521
sp|O75390|CISY_HUMAN	17.103722	16.987625	16.781404	16.685408	15.879399	15.800706	17.43372	16.758656	16.788586	17.127888	16.845404	17.031054	17.086563	17.542372	16.368587	16.280333	19.560623	18.426762	18.574816	19.009125	18.135885
