	Fluct DMSO_T0_0959	Fluct DMSO_T0_0960	Fluct DMSO_T0_0958	Fluct DMSO_T2_0962	Fluct DMSO_T2_0961	Fluct DMSO_T2_0963	Fluct DMSO_T8_0964	Fluct DMSO_T8_0966	Fluct DMSO_T8_0965	Fluct DMSO_T24_0968	Fluct DMSO_T24_0967	Fluct DMSO_T24_0969	Fluct DMSO_T72_0970	Fluct DMSO_T72_0972	Fluct DMSO_T72_0971	Fluct DMSO_T168_0973	Fluct DMSO_T168_0975	Fluct DMSO_T168_0974	Fluct DMSO_T240_0976	Fluct DMSO_T240_0977	Fluct DMSO_T240_0978	Fluct DMSO_T336_0979	Fluct DMSO_T336_0981	Fluct DMSO_T336_0980	DOX_Therapeutic_T2_274	DOX_Therapeutic_T2_275	DOX_Therapeutic_T2_276	DOX_Therapeutic_T8_278	DOX_Therapeutic_T8_279	DOX_Therapeutic_T8_277	DOX_Therapeutic_T8_278	DOX_Therapeutic_T8_279	DOX_Therapeutic_T8_277	DOX_Therapeutic_T24_282	DOX_Therapeutic_T24_280	DOX_Therapeutic_T24_281	DOX_Therapeutic_T72_284	DOX_Therapeutic_T72_283	DOX_Therapeutic_T72_285	DOX_Therapeutic_T168_286	DOX_Therapeutic_T168_288	DOX_Therapeutic_T168_287	DOX_Therapeutic_T240_290	DOX_Therapeutic_T240_291	DOX_Therapeutic_T240_289	DOX_Therapeutic_T336_292	DOX_Therapeutic_T336_294	DOX_Therapeutic_T336_293	DOX_Toxic_T2_295	DOX_Toxic_T2_296	DOX_Toxic_T2_297	DOX_Toxic_T8_299	DOX_Toxic_T8_298	DOX_Toxic_T8_300	DOX_Toxic_T24_302	DOX_Toxic_T24_301	DOX_Toxic_T24_303	DOX_Toxic_T72_306	DOX_Toxic_T72_305	DOX_Toxic_T72_304	DOX_Toxic_T168_307	DOX_Toxic_T168_308	DOX_Toxic_T168_309	DOX_Toxic_T240_311	DOX_Toxic_T240_312	DOX_Toxic_T240_310	DOX_Toxic_T336_313	DOX_Toxic_T336_315	DOX_Toxic_T336_314	EPI_Therapeutic_T2_317	EPI_Therapeutic_T2_316	EPI_Therapeutic_T2_318	EPI_Therapeutic_T8_321	EPI_Therapeutic_T8_320	EPI_Therapeutic_T8_319	EPI_Therapeutic_T24_323	EPI_Therapeutic_T24_324	EPI_Therapeutic_T24_322	EPI_Therapeutic_T72_325	EPI_Therapeutic_T72_326	EPI_Therapeutic_T72_327	EPI_Therapeutic_T168_329	EPI_Therapeutic_T168_328	EPI_Therapeutic_T168_330	EPI_Therapeutic_T240_332	EPI_Therapeutic_T240_333	EPI_Therapeutic_T240_331	EPI_Therapeutic_T336_334	EPI_Therapeutic_T336_336	EPI_Therapeutic_T336_335	EPI_Toxic_T2_338	EPI_Toxic_T2_339	EPI_Toxic_T2_337	EPI_Toxic_T8_340	EPI_Toxic_T8_341	EPI_Toxic_T8_342	EPI_Toxic_T24_344	EPI_Toxic_T24_345	EPI_Toxic_T24_343	EPI_Toxic_T72_347	EPI_Toxic_T72_348	EPI_Toxic_T72_346	EPI_Toxic_T168_349	EPI_Toxic_T168_351	EPI_Toxic_T168_350	EPI_Toxic_T240_354	EPI_Toxic_T240_353	EPI_Toxic_T240_352	EPI_Toxic_T336_355	EPI_Toxic_T336_357	EPI_Toxic_T336_356	IDA_Therapeutic_T2_211	IDA_Therapeutic_T2_213	IDA_Therapeutic_T2_212	IDA_Therapeutic_T8_214	IDA_Therapeutic_T8_215	IDA_Therapeutic_T8_216	IDA_Therapeutic_T24_217	IDA_Therapeutic_T24_218	IDA_Therapeutic_T24_219	IDA_Therapeutic_T72_222	IDA_Therapeutic_T72_221	IDA_Therapeutic_T72_220	IDA_Therapeutic_T168_223	IDA_Therapeutic_T168_224	IDA_Therapeutic_T168_225	IDA_Therapeutic_T240_228	IDA_Therapeutic_T240_227	IDA_Therapeutic_T240_226	IDA_Therapeutic_T336_230	IDA_Therapeutic_T336_229	IDA_Therapeutic_T336_231	IDA_Toxic_T2_232	IDA_Toxic_T2_233	IDA_Toxic_T8_237	IDA_Toxic_T8_236	IDA_Toxic_T8_235	IDA_Toxic_T24_238	IDA_Toxic_T24_240	IDA_Toxic_T72_242	IDA_Toxic_T72_243	IDA_Toxic_T72_241	IDA_Toxic_T168_245	IDA_Toxic_T168_246	IDA_Toxic_T168_244	DAU_Therapeutic_T0_618	DAU_Therapeutic_T0_617	DAU_Therapeutic_T0_616	DAU_Therapeutic_T240_634	DAU_Therapeutic_T240_636	DAU_Therapeutic_T240_635	DAU_Therapeutic_T168_633	DAU_Therapeutic_T168_631	DAU_Therapeutic_T168_632	DAU_Therapeutic_T72_630	DAU_Therapeutic_T72_629	DAU_Therapeutic_T72_628	DAU_Therapeutic_T24_625	DAU_Therapeutic_T24_627	DAU_Therapeutic_T24_626	DAU_Therapeutic_T8_623	DAU_Therapeutic_T8_624	DAU_Therapeutic_T8_622	DAU_Therapeutic_T2_619	DAU_Therapeutic_T2_621	DAU_Therapeutic_T2_620	DAU_Therapeutic_T336_639	DAU_Therapeutic_T336_638	DAU_Therapeutic_T336_637	DAU_Toxic_T240_657	DAU_Toxic_T240_655	DAU_Toxic_T240_656	DAU_Toxic_T168_652	DAU_Toxic_T168_654	DAU_Toxic_T168_653	DAU_Toxic_T72_649	DAU_Toxic_T72_651	DAU_Toxic_T72_650	DAU_Toxic_T24_646	DAU_Toxic_T24_647	DAU_Toxic_T24_648	DAU_Toxic_T8_643	DAU_Toxic_T8_645	DAU_Toxic_T8_644	DAU_Toxic_T2_642	DAU_Toxic_T2_641	DAU_Toxic_T2_640
sp|P07686|HEXB_HUMAN	11.437078	11.72803	11.514312	11.893791	11.84097	11.332365	11.739887	11.319298	11.612562	11.469269	11.721491	11.7386675	11.7385235	11.631442	11.135994	11.081534	10.939567	10.995918	10.728802	10.036212	11.024113	11.7562685	11.73177	11.664858	11.118452	11.205508	11.148809	11.211959	11.574866	11.574212	11.211959	11.574866	11.574212	12.0258255	11.970856	11.792025	11.960724	12.017465	12.148787	12.177206	12.108502	12.216393	11.938075	11.810143	11.703831	12.232063	12.431593	12.226757	12.00674	12.027995	11.791319	10.717508	10.752098	11.006917	NaN	NaN	NaN	11.995615	11.882615	12.049058	11.901837	11.860775	11.718136	12.172403	12.085652	12.100365	11.162152	11.028957	11.06627	10.053978	10.551469	9.699259	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.274943	10.414258	10.479494	11.45715	11.266996	11.481364	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.193284	10.17537	9.742966	11.125694	11.075918	10.364967	NaN	NaN	10.686226	10.14564	9.618999	NaN	NaN	NaN	NaN	NaN	11.283197	11.356003	11.338467	13.2437105	13.38597	13.316365	11.843912	11.775281	11.595794	13.7617855	13.621495	13.53083	11.459624	11.148231	11.770608	12.495055	12.529659	12.295662	11.479666	11.383517	11.620168	11.127948	11.174399	11.332409	10.971941	10.954311	11.286906	9.700378	10.35614	10.637141	13.881042	13.4458885	13.572248	11.802274	11.270135	11.999467	NaN	NaN	NaN	NaN	NaN	NaN	13.081807	13.189252	13.1557455
sp|P07711|CATL1_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.659806	11.528194	11.207961	NaN	NaN	NaN	NaN	NaN	NaN	11.514427	11.57819	11.891001	12.7344055	12.7036	12.632532	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P07737|PROF1_HUMAN	16.274836	16.40032	16.227114	16.087267	16.024103	16.130196	16.224792	16.05011	16.310163	15.882918	16.14815	15.932622	16.233088	16.063477	16.154497	15.962061	16.315222	15.891867	16.327993	16.347588	16.442762	15.853764	16.027794	16.220797	15.581574	15.744181	15.799713	15.266278	15.375138	15.265634	15.266278	15.375138	15.265634	15.755441	15.696075	15.705867	15.680918	15.774004	15.76408	15.200613	15.176353	15.223678	15.101101	14.950239	15.200552	15.322243	15.379566	15.402354	16.104296	16.127693	16.221853	14.092817	14.257599	14.253167	14.862695	15.027833	14.789554	15.602679	15.412644	15.396134	15.061996	15.199386	15.067156	12.632719	12.933874	12.8376045	15.460275	15.497641	15.416815	16.28926	16.442883	16.52404	16.068674	16.088459	16.188568	16.26171	16.281754	16.361658	15.711757	15.7285	15.822806	15.945723	15.711762	16.0187	15.708081	15.918448	15.868695	15.8018	15.356607	15.440568	16.376528	16.534515	16.36314	15.780206	15.8351145	15.808982	15.616923	15.316241	15.427036	15.457046	15.469929	15.508457	15.94641	15.793025	15.817736	15.106478	15.178669	15.072103	14.717427	14.90686	14.713165	16.525057	16.608997	16.404613	16.399822	16.591042	16.574833	16.81772	17.06969	16.93626	16.212505	16.340023	16.6077	16.050138	16.087292	15.864925	14.896924	15.235075	15.291096	15.432855	15.456876	16.74597	15.429258	15.780786	16.54478	16.547009	16.503757	16.113329	15.917519	16.182396	15.992185	16.195354	16.570263	16.281792	16.307095	15.46684	15.590576	15.800085	15.980753	16.049118	16.041756	15.857827	15.988156	15.392469	15.789977	15.967491	15.758847	16.416634	16.60683	16.685303	16.037987	15.972838	16.114914	15.853025	16.02755	15.711064	15.415644	15.138321	15.586437	14.884387	14.275381	14.857436	14.65654	14.615511	14.789048	15.111955	15.452865	15.124834	16.580196	16.614597	16.701597	15.761379	16.353521	16.075377	16.264566	15.891582	15.999058
sp|P07741|APT_HUMAN	9.899546	9.546868	9.886441	NaN	NaN	NaN	10.053089	9.930291	9.574217	9.829499	9.752432	9.88759	9.530891	9.492154	9.713771	NaN	NaN	NaN	9.630137	10.76348	9.485337	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.98872	9.788592	10.011105	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.745751	9.231345	9.124468	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P07814|SYEP_HUMAN	9.2611	9.645254	10.184796	9.820543	9.464367	8.952946	10.215288	10.007803	9.728128	10.465262	10.292199	10.407053	9.659909	9.498392	10.221603	9.952923	10.155536	9.694888	10.722621	11.243401	9.765604	10.406104	10.372379	10.317807	11.310192	11.33113	11.392698	11.103972	11.496725	11.004936	NaN	NaN	NaN	11.612472	11.661349	11.624934	11.492426	11.537562	10.765919	11.543699	11.855571	11.800257	11.552915	11.481898	11.359526	11.941779	11.834962	12.061398	11.50222	11.646232	11.515173	11.432347	11.507886	11.753898	11.650639	11.601553	11.393292	11.046496	10.891955	10.990427	10.547436	10.521073	10.153103	11.881931	11.903058	11.912815	NaN	NaN	NaN	11.078004	11.218182	10.691238	10.9925585	11.153416	11.151474	11.070191	10.725002	10.676982	11.29529	11.317861	11.28089	9.220152	9.6254635	9.345209	11.076134	10.847872	10.751273	10.487846	9.970129	9.78392	10.734952	10.6205	10.7536	11.068773	11.179147	11.096108	11.085478	11.068175	11.12989	10.73607	10.033178	9.759141	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.021513	11.077922	10.867956	8.622872	9.508696	9.614459	11.049303	10.744857	10.835668	NaN	NaN	NaN	11.363711	11.139164	11.047425	8.684034	9.802708	9.715953	9.9809475	10.176144	10.835658	11.051431	11.080197	10.232946	10.644724	NaN	NaN	NaN	11.622019	11.038165	11.357563	NaN	NaN	NaN	11.4032	11.251679	11.124111	9.279672	9.710932	8.991702	10.718165	10.540382	10.785637	NaN	NaN	NaN	9.25062	9.309098	8.843095	NaN	NaN	NaN	14.273636	14.3681755	14.072119	NaN	NaN	NaN	NaN	NaN	NaN	9.551395	12.46872	11.816221	10.488142	10.578869	9.712131	NaN	NaN	NaN	NaN	NaN	NaN
sp|P07858|CATB_HUMAN	15.931586	16.425259	15.630871	15.154565	14.950509	15.213156	15.095126	15.047101	15.210145	14.716309	14.943302	15.396601	15.90399	15.234702	15.587377	16.702515	16.667522	16.251604	17.144875	16.976622	16.7811	16.910046	17.308615	17.100004	15.078808	15.080608	14.972101	14.837644	14.799886	14.721826	14.837644	14.799886	14.721826	15.427817	15.386286	15.240662	14.929162	14.946384	15.671441	16.249804	16.22303	15.941578	16.82652	16.537647	16.839386	15.79288	15.991296	15.997615	15.89936	15.524402	15.567854	15.25505	15.265112	15.153485	15.6165285	15.772247	15.601299	16.11198	15.764812	15.872923	15.913584	15.8985615	15.700381	15.956876	15.945244	15.892503	15.735167	15.929142	15.962808	15.257419	15.270784	15.230114	13.883102	13.637565	14.144131	15.3839245	15.432881	15.180305	15.719498	15.61594	15.569232	15.942146	15.644824	15.83824	15.055871	15.032426	14.996969	16.106655	15.812208	15.969491	15.084682	15.170589	15.131053	14.975043	14.81653	14.59323	14.887981	14.955712	15.1977	15.371141	15.779276	15.73775	16.008865	16.186924	16.224962	14.365251	14.585441	14.59674	15.802615	15.667749	15.435323	16.72144	16.6036	16.236427	16.607529	16.383724	16.260098	16.362497	16.545486	16.39575	16.061832	16.105495	16.172207	16.13176	16.022858	16.085407	16.029854	15.98491	16.191597	16.387161	16.004982	15.997181	15.908815	15.582211	16.000565	16.285717	16.076994	16.562458	16.322021	14.706231	15.218385	15.512075	16.793428	16.712343	16.943417	15.937638	15.94449	15.727278	15.0976715	14.949545	16.234592	14.782501	14.594969	14.454396	15.350949	15.182642	15.455928	15.951373	16.183022	16.19231	15.973826	16.137161	15.843026	15.719288	15.8430605	15.820764	16.556604	16.800508	16.725222	16.104218	15.749433	16.210682	16.513042	16.33062	16.267021	16.610023	16.422836	16.759075	14.853717	14.9729185	14.909157	15.062088	15.188756	15.367172	15.364162	15.532243	15.553898
sp|P07900|HS90A_HUMAN	15.844774	16.226809	15.846384	15.074569	15.045168	14.885571	15.093598	15.221011	14.983159	14.817468	14.768752	15.007338	15.6727495	15.233098	15.400022	15.573457	15.646899	15.416085	15.630704	15.260039	15.649923	15.521452	15.003533	15.35382	14.288003	14.138732	14.270714	14.691027	14.814371	14.810835	14.691027	14.814371	14.810835	14.137476	14.31439	14.301697	14.186288	14.163073	14.349859	14.268038	14.1872635	14.128808	14.046677	14.046737	14.200115	14.582048	14.527568	14.827596	14.878367	14.8260975	14.868063	13.752476	14.098976	14.031937	14.282695	14.557569	14.279811	14.80262	14.620321	14.669551	14.455522	14.304135	14.368889	14.607169	14.592688	14.577445	14.707758	14.817324	14.787388	15.377224	15.335593	15.147079	15.284427	15.178434	15.484721	15.2234745	15.40694	15.405501	14.972458	14.986336	15.083923	15.069114	14.727187	15.130015	14.898314	15.107828	15.074421	15.265886	15.200024	15.305211	14.981632	15.463144	15.359704	14.983856	15.09981	15.074129	14.5953	14.590597	14.805222	14.6891165	14.926529	14.886953	13.895546	14.113398	14.21477	14.224949	14.277336	13.930676	13.66484	13.520098	13.877484	15.095166	15.148442	15.006671	15.504172	15.255535	15.373888	14.57392	14.792151	14.569211	15.220157	15.166934	15.10142	14.851519	14.702423	14.887623	14.833873	14.957806	15.025159	14.797354	14.883441	15.380139	14.79919	14.978103	15.516617	15.574367	15.567831	15.495532	15.477795	15.753067	15.745254	15.513618	15.621249	15.622036	15.761392	13.812807	14.274639	14.038793	14.505597	14.416943	14.92366	13.925559	14.259784	14.209826	14.042148	14.026062	14.40888	14.89832	14.802331	14.670468	14.920505	14.87387	14.975087	13.089923	13.211024	13.405153	14.754967	14.828409	14.948065	12.272967	12.880048	11.571071	14.688563	13.780374	13.687154	13.86561	13.656317	13.825508	14.132878	14.1559725	14.186239	13.690452	14.079342	13.663486	15.087376	15.429214	15.30221
sp|P07910|HNRPC_HUMAN	13.238864	13.428888	12.8291235	13.096182	12.955113	13.487181	13.175069	13.452842	13.221259	13.249722	12.882377	13.214606	13.539123	13.349833	13.337415	12.682184	12.694868	12.50615	12.362833	12.826762	12.3904085	13.007725	13.530732	13.176672	13.804187	13.925444	13.788012	14.66393	14.667536	14.629425	14.66393	14.667536	14.629425	14.932693	14.720721	14.916793	14.901377	14.813367	15.132549	15.068386	14.855542	14.76795	15.01818	14.964262	15.054826	14.880626	15.011291	14.949512	14.717193	14.63153	14.532989	14.51949	14.528444	14.661153	14.167209	14.261462	14.104945	14.104619	14.14455	14.161012	14.658203	14.673079	14.353038	14.537624	14.733706	14.577837	14.71865	14.957543	14.768217	14.455858	14.506551	14.521511	14.527844	14.48474	14.9389715	14.669181	14.734032	14.768076	14.620363	14.659839	14.685814	14.743063	14.674234	14.770335	14.439973	14.641775	14.614037	14.741058	14.923266	15.090915	14.143634	14.456041	14.551744	14.1499195	14.498005	14.426597	14.111134	14.209649	14.449974	14.68619	14.729703	14.68387	14.3702545	14.771252	14.906002	13.566463	14.224633	14.465204	14.371944	14.59126	14.9925585	14.666365	14.582269	14.581968	14.489507	14.50872	14.333046	14.281021	14.617117	14.294816	14.469816	14.218391	14.50054	14.426423	14.49432	14.602747	14.5668335	14.486058	14.473555	14.812702	14.537901	14.492942	14.506632	14.646176	14.504517	14.64877	14.619745	14.5508585	14.536463	14.457494	14.574598	14.764773	15.094187	15.013012	15.047263	14.538362	14.4389	14.575041	14.222664	14.080967	14.199076	13.700996	13.737558	13.97383	13.829883	13.615186	14.116944	14.440407	14.344769	14.67645	14.067879	14.124491	13.834398	13.974679	13.792549	13.525847	13.669891	14.137279	13.998438	13.573652	13.761783	13.818967	14.255359	13.946707	13.9426365	13.782619	13.902418	13.725329	14.060887	14.3449335	13.888947	14.489783	14.726332	14.570948	14.334546	14.096941	14.420258
sp|P07919|QCR6_HUMAN	NaN	NaN	NaN	11.640236	11.139877	11.371767	10.779189	11.885285	10.729361	12.120458	10.805794	12.059395	12.261759	11.971571	12.242289	11.580361	12.319082	11.791568	NaN	NaN	NaN	10.8080015	11.712106	11.741611	11.345552	10.06501	11.669042	11.887488	11.654727	11.88575	NaN	NaN	NaN	12.415889	12.296934	12.439775	12.625243	12.71015	11.806103	12.304913	12.114434	12.523562	12.217076	12.433893	12.372549	13.113702	13.0959015	13.071645	10.569736	10.687709	11.308994	11.172476	11.794722	12.160468	10.608739	10.90463	11.059083	11.507495	11.527261	11.610308	NaN	NaN	NaN	11.630971	12.595779	12.693503	12.853819	12.677869	12.77921	NaN	NaN	NaN	12.922403	13.066401	13.102097	12.683968	12.825029	12.991166	12.70082	12.577663	12.919472	13.827371	13.270081	13.379405	12.745533	12.847761	13.10108	13.172975	13.451468	13.380262	12.076514	12.651999	12.484387	13.526614	13.514271	13.092939	12.749895	12.973328	12.9818	12.551111	12.781019	13.051703	NaN	NaN	NaN	13.054635	13.945463	13.955947	15.0403595	14.58871	13.209462	NaN	NaN	NaN	11.628587	11.056926	11.381142	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.78026	14.377678	13.265455	11.179276	11.725738	NaN	NaN	NaN	NaN	NaN	10.16056	11.084759	11.307014	NaN	NaN	NaN	14.3261	14.170358	14.125523	11.76032	11.968868	12.884134	14.727958	14.620216	14.97205	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.116311	14.167559	14.246868	12.675574	12.581394	12.212024	NaN	NaN	NaN	15.8198595	15.384273	15.1032295	12.054308	11.971227	11.928973	11.689499	11.686883	12.394752	13.368843	13.637221	13.506313	11.912628	12.113735	11.731088
sp|P07942|LAMB1_HUMAN	11.715568	11.703699	11.621153	12.152672	11.99755	11.838993	11.955235	12.006076	11.968284	11.75205	11.713616	11.877121	12.520244	11.946298	12.241476	12.254651	12.2124405	12.37462	11.358917	11.356523	11.044117	12.86211	13.304165	12.743325	11.266242	11.426318	11.436468	11.381833	11.436415	11.304875	11.381833	11.436415	11.304875	12.117142	12.1607685	12.137556	11.142166	11.078636	11.163702	11.6870365	11.479175	11.584532	11.843798	11.790574	11.955938	11.000616	11.1670685	11.1232605	11.599896	11.26191	11.380967	10.728001	10.76398	10.77956	11.889584	12.037021	11.883683	12.246913	12.179736	12.22363	12.453463	12.26993	12.435433	12.566044	12.552882	12.678922	10.732265	10.874041	10.745317	NaN	NaN	NaN	NaN	NaN	NaN	10.259787	10.492773	10.294849	10.238711	10.280033	10.200882	12.340856	11.818672	11.923179	NaN	NaN	NaN	11.96322	11.772547	11.558152	10.345345	9.780133	10.14091	9.847639	10.061392	10.038643	NaN	NaN	NaN	10.83879	10.913258	10.901871	12.249942	12.09381	12.228583	NaN	NaN	NaN	NaN	NaN	NaN	11.038175	11.025598	10.958572	11.860069	12.191547	12.125845	12.229664	12.102598	12.264682	12.275554	12.445096	12.527035	13.027841	13.046143	12.902281	12.558213	12.5564	12.620118	12.849318	12.880738	12.185154	11.740029	12.110619	11.994399	11.823612	11.982405	12.189179	12.51562	12.301404	12.530192	12.76412	NaN	NaN	NaN	12.2761	12.353478	12.326372	13.149713	13.256271	13.138619	13.068724	12.938168	12.884066	11.335249	11.556706	11.446677	10.140375	9.858853	9.876141	12.85582	12.795494	12.823181	12.678378	12.595623	12.631061	12.585524	12.192332	12.489481	11.398142	12.363538	12.481774	13.495664	13.478876	12.545504	11.499725	11.111974	11.733286	12.286599	12.076384	12.376681	12.348255	12.915622	12.192532	11.063592	10.942677	10.805953
sp|P07951|TPM2_HUMAN	11.363092	11.537594	11.602818	11.412592	11.504082	11.670051	11.749649	11.544924	11.699411	10.322957	10.451574	10.758948	12.01324	11.683488	12.200808	12.247315	12.135242	12.667459	11.40975	11.651047	11.416605	12.918346	12.260492	12.528098	12.250341	12.000482	12.202247	11.973257	11.837076	11.128691	NaN	NaN	NaN	12.446853	12.420638	12.201523	12.196447	12.201075	12.616162	12.770946	12.611359	12.7937765	11.919799	11.966998	11.609	10.364923	10.786504	10.386682	10.521695	10.932002	10.978708	10.716733	11.150504	11.06062	10.566447	10.629461	10.487839	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.331895	12.636796	12.138839	11.708887	12.1053095	12.191682	12.065171	12.12035	12.424496	12.864584	12.602733	12.752432	12.764251	12.668001	12.549235	12.19619	12.580968	12.421859	12.333099	12.573532	12.533254	12.223861	12.715459	12.632693	12.047203	11.90828	11.919933	12.612975	12.606693	12.848261	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.679292	11.971114	11.4136	12.756768	11.827651	12.712822	13.62968	13.543469	13.390449	12.508968	12.079641	12.676461	12.906221	12.982822	13.115494	12.132527	11.972524	12.257924	NaN	NaN	NaN	12.1448765	12.73741	13.055392	12.641058	12.832445	12.96107	12.707587	11.989629	12.259545	12.290968	NaN	NaN	NaN	11.276314	11.4307	11.477326	10.677575	11.152343	12.270964	8.902877	9.490921	8.8219185	NaN	NaN	NaN	11.636375	11.557893	11.795385	NaN	NaN	NaN	NaN	NaN	NaN	11.786502	11.824179	11.928586	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P07954|FUMH_HUMAN	15.314003	15.512617	15.288155	15.458212	15.148751	15.318363	15.168833	15.30226	15.25881	14.943929	15.122307	15.17985	15.860438	15.555613	15.631074	15.189948	15.179847	15.359086	15.418023	15.413596	15.675744	15.434555	15.4495	15.056532	13.070227	12.877333	12.977302	14.304055	14.148278	14.040383	14.304055	14.148278	14.040383	13.607805	13.7466	13.83363	15.958364	16.044611	15.685991	13.854207	14.009037	13.904098	13.745286	13.772852	13.929184	13.852489	13.957681	14.101434	13.473294	13.432798	13.375138	13.429649	13.465978	13.382107	13.362834	13.57981	13.400706	14.519286	14.3730135	14.297954	14.547055	14.629076	14.428595	14.385582	14.465512	14.650657	14.230817	14.537623	14.410717	13.408173	13.506912	13.513901	13.194409	13.277022	13.384463	14.606848	14.7275505	14.606803	15.074119	15.187512	15.170221	13.726725	13.501003	13.785304	13.610285	13.512667	13.584029	14.071372	14.169657	14.148426	13.225264	13.524729	13.352631	13.419207	13.477339	13.410046	14.351679	14.447627	14.702718	14.621636	14.828906	14.978997	14.841931	14.899288	15.108505	14.52335	15.442502	15.094003	15.214384	15.339211	15.25923	13.359137	13.4802685	13.388929	13.15639	13.478084	13.465617	13.372745	13.395111	13.509005	13.675234	13.74993	13.656718	13.825006	13.739406	13.70999	13.993993	13.793465	13.861482	13.7279	13.918341	13.30525	12.613784	13.354559	13.389311	13.283466	13.303023	11.309157	11.919086	14.924933	14.662899	14.348624	13.652791	13.798172	13.574163	15.244632	14.834158	14.863834	14.210974	14.298674	14.599737	14.58315	14.504658	14.410964	14.449729	14.233646	14.085653	14.794404	14.875197	14.755506	13.842932	13.799122	14.285764	14.802223	14.846183	14.561999	14.558567	14.349208	14.804251	14.71492	14.38879	15.564891	14.715956	14.468011	14.737888	14.189179	14.294898	14.1940365	15.099098	14.926944	15.073374	15.109384	15.265929	15.155083	14.27065	13.696391	13.92301
