"","Invitro_protein","Biopsies_protein","Protein_detection","Heart_Failure_info_protein","High_MM_Protein"
"P24844","yellow","brown",3,FALSE,FALSE
"P25311",NA,"green",2,FALSE,FALSE
"P25325",NA,"yellow",2,FALSE,FALSE
"P25398","turquoise","brown",3,FALSE,TRUE
"P25705","brown","blue",3,TRUE,TRUE
"P25786","blue","red",3,FALSE,FALSE
"P25787",NA,"brown",2,FALSE,FALSE
"P25788","yellow","yellow",3,FALSE,FALSE
"P25789","turquoise","pink",3,FALSE,FALSE
"P25815",NA,"yellow",2,FALSE,FALSE
"P25940",NA,"green",2,FALSE,FALSE
"P26038","blue","blue",3,FALSE,FALSE
"P26196",NA,"turquoise",2,FALSE,FALSE
"P26373","yellow","turquoise",3,FALSE,FALSE
"P26440","brown","blue",3,FALSE,TRUE
"P26447",NA,"brown",2,FALSE,FALSE
"P26583","turquoise","brown",3,FALSE,TRUE
"P26599","blue","blue",3,FALSE,FALSE
"P26639","red",NA,1,FALSE,FALSE
"P26641","turquoise","turquoise",3,FALSE,FALSE
"P26678","blue","turquoise",3,TRUE,TRUE
"P26885",NA,"brown",2,FALSE,FALSE
"P27105",NA,"turquoise",2,FALSE,FALSE
"P27144","green","blue",3,FALSE,FALSE
"P27338",NA,"turquoise",2,FALSE,TRUE
"P27348","blue","turquoise",3,FALSE,FALSE
"P27635","turquoise","green",3,FALSE,FALSE
"P27695","turquoise",NA,1,FALSE,FALSE
"P27797","blue","red",3,TRUE,TRUE
"P27816","turquoise","blue",3,FALSE,FALSE
"P27824","brown","green",3,FALSE,TRUE
"P28066","green","yellow",3,FALSE,FALSE
"P28070","blue","yellow",3,FALSE,FALSE
"P28072","turquoise","brown",3,FALSE,TRUE
"P28074","turquoise","blue",3,FALSE,FALSE
"P28161",NA,"green",2,FALSE,FALSE
"P28289","turquoise","brown",3,FALSE,TRUE
"P28331","blue","blue",3,FALSE,FALSE
"P28838","blue","brown",3,FALSE,FALSE
"P28906",NA,"yellow",2,FALSE,FALSE
"P29218","turquoise","yellow",3,FALSE,FALSE
"P29401","blue","blue",3,FALSE,TRUE
"P29508",NA,"brown",2,FALSE,FALSE
"P29692","turquoise","blue",3,FALSE,TRUE
"P29728",NA,"blue",2,FALSE,FALSE
"P29966",NA,"yellow",2,FALSE,TRUE
"P29992",NA,"blue",2,FALSE,FALSE
"P30038","brown","blue",3,FALSE,FALSE
"P30040","yellow","red",3,FALSE,TRUE
"P30041","turquoise","blue",3,FALSE,FALSE
"P30042","brown","brown",3,FALSE,FALSE
"P30043",NA,"blue",2,FALSE,FALSE
"P30044","green","red",3,FALSE,TRUE
"P30046",NA,"blue",2,FALSE,FALSE
"P30048","green","brown",3,TRUE,FALSE
"P30049","brown","red",3,FALSE,FALSE
"P30050","turquoise","brown",3,FALSE,FALSE
"P30084","brown","brown",3,FALSE,TRUE
"P30085","red","red",3,FALSE,FALSE
"P30086","blue","blue",3,TRUE,FALSE
"P30101","blue","red",3,FALSE,TRUE
"P30153","red","turquoise",3,TRUE,FALSE
"P30405","green","blue",3,FALSE,TRUE
"P30533","brown","blue",3,FALSE,FALSE
"P30613",NA,"yellow",2,FALSE,TRUE
"P30626","turquoise","yellow",3,TRUE,TRUE
"P30711",NA,"turquoise",2,FALSE,FALSE
"P30837","green","green",3,FALSE,FALSE
"P31040","brown","yellow",3,FALSE,FALSE
"P31150","blue","turquoise",3,FALSE,TRUE
"P31151",NA,"brown",2,FALSE,FALSE
"P31153",NA,"turquoise",2,FALSE,FALSE
"P31323","turquoise","blue",3,TRUE,FALSE
"P31930","brown","yellow",3,FALSE,FALSE
"P31937","brown","brown",3,FALSE,FALSE
"P31939","turquoise","green",3,FALSE,TRUE
"P31942","turquoise","brown",3,FALSE,TRUE
"P31943","turquoise","blue",3,FALSE,TRUE
"P31946","blue","yellow",3,FALSE,TRUE
"P31947",NA,"brown",2,FALSE,FALSE
"P31948","yellow","red",3,FALSE,FALSE
"P31949","blue","blue",3,FALSE,FALSE
"P32119","turquoise","blue",3,FALSE,FALSE
"P32418","green","turquoise",3,TRUE,FALSE
"P32456",NA,"blue",2,FALSE,TRUE
"P32969","turquoise","turquoise",3,FALSE,TRUE
"P33121","red","turquoise",3,FALSE,TRUE
"P33176","blue","green",3,FALSE,FALSE
"P33316",NA,"brown",2,FALSE,TRUE
"P34897","turquoise",NA,1,FALSE,FALSE
"P34913",NA,"yellow",2,TRUE,FALSE
"P34932","blue","turquoise",3,TRUE,FALSE
"P34949",NA,"turquoise",2,FALSE,FALSE
"P35080",NA,"blue",2,FALSE,FALSE
"P35221","blue","turquoise",3,FALSE,FALSE
"P35222","blue","pink",3,FALSE,TRUE
"P35232","brown","green",3,FALSE,TRUE
"P35237","turquoise","blue",3,FALSE,FALSE
"P35241","blue","yellow",3,FALSE,TRUE
"P35268","yellow","blue",3,FALSE,TRUE
"P35270",NA,"brown",2,FALSE,FALSE
"P35443",NA,"turquoise",2,FALSE,FALSE
"P35527","yellow","brown",3,FALSE,TRUE
"P35555","blue","turquoise",3,TRUE,FALSE
"P35556","turquoise",NA,1,FALSE,FALSE
"P35573",NA,"black",2,FALSE,FALSE
"P35579","blue","green",3,FALSE,TRUE
"P35580","blue","yellow",3,FALSE,TRUE
"P35606","blue","blue",3,FALSE,FALSE
"P35609","green","turquoise",3,FALSE,FALSE
"P35611","red","red",3,TRUE,FALSE
"P35613","brown","black",3,FALSE,TRUE
"P35637","yellow",NA,1,FALSE,FALSE
"P35749",NA,"turquoise",2,FALSE,FALSE
"P35754",NA,"yellow",2,FALSE,FALSE
"P35908","yellow","brown",3,FALSE,TRUE
"P35914",NA,"blue",2,FALSE,FALSE
"P35998","green","blue",3,FALSE,FALSE
"P36269",NA,"green",2,FALSE,FALSE
"P36405",NA,"brown",2,FALSE,FALSE
"P36542","brown","brown",3,FALSE,TRUE
"P36578","turquoise","green",3,FALSE,FALSE
"P36776","brown","turquoise",3,TRUE,FALSE
"P36871","blue","green",3,FALSE,FALSE
"P36955",NA,"black",2,FALSE,FALSE
"P36957","brown","brown",3,FALSE,FALSE
"P36969",NA,"green",2,TRUE,FALSE
"P37108",NA,"brown",2,FALSE,FALSE
"P37802","blue","red",3,FALSE,TRUE
"P37837","blue","blue",3,FALSE,FALSE
"P37840",NA,"blue",2,FALSE,FALSE
"P38117","brown","brown",3,FALSE,TRUE
"P38159","yellow","green",3,FALSE,FALSE
"P38606","blue","turquoise",3,FALSE,FALSE
"P38646","brown","blue",3,FALSE,TRUE
"P38919","turquoise",NA,1,FALSE,FALSE
"P39019",NA,"red",2,TRUE,TRUE
"P39023","yellow","yellow",3,FALSE,FALSE
"P39059",NA,"brown",2,FALSE,FALSE
"P39060","yellow","yellow",3,FALSE,FALSE
"P39656","turquoise","turquoise",3,FALSE,TRUE
"P39687","turquoise",NA,1,FALSE,FALSE
"P40123","turquoise","yellow",3,FALSE,FALSE
"P40227","turquoise","green",3,FALSE,FALSE
"P40429","brown",NA,1,FALSE,FALSE
"P40925","yellow","turquoise",3,FALSE,FALSE
"P40926","green","brown",3,TRUE,TRUE
"P40939","brown","brown",3,TRUE,FALSE
"P41222",NA,"brown",2,FALSE,FALSE
"P41250","green","green",3,FALSE,TRUE
"P42025",NA,"green",2,FALSE,FALSE
"P42126","brown","brown",3,FALSE,FALSE
"P42356",NA,"blue",2,FALSE,TRUE
"P42704","brown","green",3,TRUE,TRUE
"P42765","brown","brown",3,FALSE,FALSE
"P42766","turquoise",NA,1,FALSE,FALSE
"P43034","turquoise","yellow",3,FALSE,FALSE
"P43121",NA,"turquoise",2,FALSE,TRUE
"P43155","brown","blue",3,FALSE,FALSE
"P43243","turquoise","black",3,FALSE,TRUE
"P43304",NA,"turquoise",2,FALSE,FALSE
"P43490","blue","black",3,TRUE,FALSE
"P43652",NA,"yellow",2,FALSE,FALSE
"P43686","turquoise","blue",3,FALSE,TRUE
"P45379","turquoise","red",3,TRUE,TRUE
"P45880","brown","turquoise",3,FALSE,FALSE
"P45954","brown","blue",3,FALSE,FALSE
"P45974","yellow","yellow",3,FALSE,FALSE
"P46019",NA,"brown",2,FALSE,FALSE
"P46199",NA,"brown",2,FALSE,FALSE
"P46776","blue",NA,1,FALSE,FALSE
"P46777","red","green",3,FALSE,FALSE
"P46778","blue","green",3,FALSE,FALSE
"P46779","brown",NA,1,FALSE,FALSE
"P46781","yellow","turquoise",3,FALSE,FALSE
"P46782","red","turquoise",3,FALSE,FALSE
"P46783",NA,"yellow",2,FALSE,FALSE
"P46821","blue",NA,1,FALSE,FALSE
"P46940",NA,"green",2,FALSE,TRUE
"P46976","turquoise","green",3,FALSE,FALSE
"P47755","turquoise","blue",3,FALSE,TRUE
"P47756","blue","brown",3,FALSE,TRUE
"P47895",NA,"brown",2,FALSE,FALSE
"P47897","turquoise",NA,1,FALSE,FALSE
"P47914","blue",NA,1,FALSE,FALSE
"P47929",NA,"brown",2,FALSE,FALSE
"P47985",NA,"red",2,FALSE,FALSE
"P48047","brown","brown",3,FALSE,TRUE
"P48059",NA,"yellow",2,FALSE,FALSE
"P48147","turquoise","turquoise",3,FALSE,FALSE
"P48163",NA,"turquoise",2,FALSE,TRUE
"P48594",NA,"yellow",2,FALSE,FALSE
"P48637",NA,"brown",2,FALSE,FALSE
"P48643","turquoise","green",3,FALSE,FALSE
"P48681","turquoise","blue",3,TRUE,FALSE
"P48728",NA,"brown",2,FALSE,FALSE
"P48735","brown","brown",3,FALSE,TRUE
"P49189","green","turquoise",3,FALSE,FALSE
"P49207","red","turquoise",3,FALSE,FALSE
"P49257",NA,"green",2,FALSE,TRUE
"P49327","green","green",3,TRUE,FALSE
"P49368","green","turquoise",3,FALSE,FALSE
"P49411","brown","blue",3,FALSE,TRUE
"P49419","green","turquoise",3,FALSE,FALSE
"P49454",NA,"turquoise",2,FALSE,FALSE
"P49458","yellow",NA,1,FALSE,FALSE
"P49588","red",NA,1,FALSE,FALSE
"P49591","turquoise","yellow",3,FALSE,FALSE
"P49720",NA,"green",2,FALSE,TRUE
"P49721",NA,"turquoise",2,FALSE,FALSE
"P49748","brown","brown",3,FALSE,FALSE
"P49753",NA,"turquoise",2,FALSE,FALSE
"P49755","brown","turquoise",3,FALSE,TRUE
"P49773",NA,"brown",2,FALSE,FALSE
"P49821","brown","blue",3,FALSE,TRUE
"P50213","brown","brown",3,FALSE,TRUE
"P50336",NA,"turquoise",2,FALSE,TRUE
"P50395","blue","turquoise",3,FALSE,FALSE
"P50454","red","blue",3,FALSE,FALSE
"P50461","turquoise","blue",3,TRUE,FALSE
"P50502",NA,"red",2,FALSE,TRUE
"P50895","turquoise","red",3,FALSE,FALSE
"P50897",NA,"blue",2,FALSE,FALSE
"P50914","turquoise",NA,1,FALSE,FALSE
"P50990","turquoise","blue",3,FALSE,FALSE
"P50991","brown","green",3,FALSE,FALSE
"P50993",NA,"green",2,FALSE,FALSE
"P50995","red","green",3,FALSE,FALSE
"P51114",NA,"red",2,FALSE,FALSE
"P51148",NA,"green",2,FALSE,FALSE
"P51149","blue","green",3,FALSE,TRUE
"P51452","turquoise","turquoise",3,FALSE,FALSE
"P51553","brown","brown",3,FALSE,FALSE
"P51572",NA,"turquoise",2,FALSE,FALSE
"P51608",NA,"green",2,TRUE,FALSE
"P51648",NA,"turquoise",2,FALSE,TRUE
"P51649",NA,"blue",2,FALSE,FALSE
"P51659","green","pink",3,FALSE,FALSE
"P51665",NA,"turquoise",2,FALSE,FALSE
"P51687",NA,"brown",2,FALSE,FALSE
"P51858","blue","yellow",3,FALSE,TRUE
"P51884",NA,"red",2,TRUE,TRUE
"P51888",NA,"red",2,FALSE,FALSE
"P51911",NA,"turquoise",2,TRUE,FALSE
"P51970","turquoise","brown",3,FALSE,FALSE
"P51991","blue","red",3,FALSE,FALSE
"P52179","turquoise","blue",3,FALSE,FALSE
"P52209","blue","green",3,FALSE,TRUE
"P52272","green","brown",3,FALSE,TRUE
"P52565","blue","red",3,FALSE,TRUE
"P52566",NA,"yellow",2,FALSE,TRUE
"P52597","red","yellow",3,FALSE,FALSE
"P52758",NA,"blue",2,FALSE,FALSE
"P52815","turquoise","brown",3,FALSE,TRUE
"P52907","yellow","blue",3,FALSE,TRUE
"P52943","blue","blue",3,FALSE,FALSE
"P53004",NA,"yellow",2,FALSE,TRUE
"P53041",NA,"green",2,FALSE,FALSE
"P53597","brown","brown",3,FALSE,FALSE
"P53618",NA,"green",2,FALSE,TRUE
"P53621","brown",NA,1,FALSE,FALSE
"P53804",NA,"yellow",2,FALSE,FALSE
"P53814",NA,"brown",2,FALSE,FALSE
"P53999","turquoise","yellow",3,FALSE,TRUE
"P54136","blue","green",3,FALSE,FALSE
"P54289",NA,"green",2,FALSE,FALSE
"P54296",NA,"blue",2,FALSE,FALSE
"P54577","turquoise",NA,1,FALSE,FALSE
"P54578",NA,"blue",2,FALSE,FALSE
"P54652",NA,"blue",2,FALSE,FALSE
"P54725",NA,"brown",2,FALSE,TRUE
"P54727",NA,"red",2,FALSE,FALSE
"P54819","green","brown",3,FALSE,FALSE
"P54840",NA,"turquoise",2,FALSE,TRUE
"P54920",NA,"yellow",2,FALSE,FALSE
"P55072","yellow","yellow",3,FALSE,FALSE
"P55083",NA,"yellow",2,FALSE,FALSE
"P55084","brown","brown",3,TRUE,TRUE
"P55145","turquoise",NA,1,TRUE,FALSE
"P55209","yellow",NA,1,FALSE,FALSE
"P55268","yellow","turquoise",3,FALSE,FALSE
"P55290",NA,"turquoise",2,FALSE,TRUE
"P55786","turquoise","turquoise",3,FALSE,FALSE
"P55795","brown",NA,1,FALSE,FALSE
"P55809","brown","blue",3,FALSE,TRUE
"P55822",NA,"red",2,FALSE,TRUE
"P55884","turquoise","yellow",3,FALSE,FALSE
"P56134","brown","turquoise",3,FALSE,TRUE
"P56181",NA,"blue",2,FALSE,FALSE
"P56378",NA,"turquoise",2,FALSE,FALSE
"P56381",NA,"brown",2,FALSE,FALSE
"P56385","turquoise","brown",3,FALSE,TRUE
"P56470",NA,"red",2,FALSE,TRUE
"P56556","brown","blue",3,FALSE,FALSE
"P58546",NA,"yellow",2,TRUE,TRUE
"P59998","brown","turquoise",3,FALSE,FALSE
"P60174","turquoise","brown",3,TRUE,FALSE
"P60660","blue","brown",3,FALSE,FALSE
"P60842","brown",NA,1,FALSE,FALSE
"P60866","turquoise","blue",3,FALSE,TRUE
"P60891",NA,"yellow",2,FALSE,FALSE
"P60900","turquoise","brown",3,FALSE,FALSE
"P60903",NA,"red",2,FALSE,TRUE
"P60953",NA,"turquoise",2,FALSE,TRUE
"P60981","turquoise","red",3,FALSE,FALSE
"P61019","blue","turquoise",3,FALSE,TRUE
"P61026","turquoise","turquoise",3,FALSE,TRUE
"P61088",NA,"yellow",2,FALSE,TRUE
"P61106",NA,"turquoise",2,FALSE,FALSE
"P61158","turquoise","turquoise",3,FALSE,FALSE
"P61160","red",NA,1,FALSE,FALSE
"P61163","brown","yellow",3,FALSE,TRUE
"P61201",NA,"green",2,FALSE,FALSE
"P61247","turquoise","turquoise",3,FALSE,FALSE
"P61254","turquoise","yellow",3,FALSE,FALSE
"P61313","brown","turquoise",3,FALSE,FALSE
"P61353","yellow",NA,1,FALSE,FALSE
"P61457",NA,"blue",2,FALSE,TRUE
"P61513","turquoise","turquoise",3,FALSE,FALSE
"P61604","turquoise","brown",3,FALSE,TRUE
"P61758",NA,"yellow",2,FALSE,TRUE
"P61769",NA,"brown",2,FALSE,TRUE
"P61916","blue",NA,1,FALSE,FALSE
"P61978","brown","brown",3,FALSE,TRUE
"P61981","blue","red",3,FALSE,TRUE
"P62070",NA,"turquoise",2,FALSE,FALSE
"P62072",NA,"brown",2,FALSE,FALSE
"P62081","green","brown",3,FALSE,FALSE
"P62140","turquoise","yellow",3,FALSE,TRUE
"P62158","blue","red",3,FALSE,TRUE
"P62191",NA,"blue",2,FALSE,FALSE
"P62195","turquoise","green",3,FALSE,FALSE
"P62241","turquoise","turquoise",3,FALSE,FALSE
"P62249","green","green",3,FALSE,FALSE
"P62258","yellow","yellow",3,FALSE,FALSE
"P62263","blue","yellow",3,FALSE,TRUE
"P62266","turquoise",NA,1,FALSE,TRUE
"P62269","red","red",3,FALSE,FALSE
"P62273","turquoise",NA,1,FALSE,TRUE
"P62277","brown","yellow",3,FALSE,FALSE
"P62280","turquoise","yellow",3,FALSE,FALSE
"P62316",NA,"blue",2,FALSE,TRUE
"P62318","turquoise","brown",3,FALSE,FALSE
"P62328",NA,"yellow",2,FALSE,TRUE
"P62333","red","brown",3,FALSE,FALSE
"P62424","yellow","pink",3,FALSE,FALSE
"P62701","turquoise","turquoise",3,FALSE,FALSE
"P62750","yellow","red",3,FALSE,FALSE
"P62753","turquoise","blue",3,FALSE,FALSE
"P62805","turquoise","yellow",3,FALSE,TRUE
"P62820","turquoise","turquoise",3,TRUE,TRUE
"P62826","green","blue",3,FALSE,FALSE
"P62829","green","blue",3,FALSE,FALSE
"P62841",NA,"brown",2,FALSE,FALSE
"P62847","green",NA,1,FALSE,FALSE
"P62851","turquoise","blue",3,FALSE,FALSE
"P62857","turquoise","red",3,FALSE,TRUE
"P62861",NA,"green",2,FALSE,FALSE
"P62873","green","brown",3,FALSE,FALSE
"P62879","green","yellow",3,FALSE,FALSE
"P62888","red","red",3,FALSE,FALSE
"P62899",NA,"red",2,FALSE,FALSE
"P62906","red","turquoise",3,FALSE,FALSE
"P62910","turquoise","brown",3,TRUE,FALSE
"P62913","turquoise","blue",3,FALSE,FALSE
"P62917","turquoise","turquoise",3,FALSE,FALSE
"P62937","turquoise","blue",3,FALSE,TRUE
"P62942","yellow","brown",3,FALSE,TRUE
"P62979","yellow",NA,1,FALSE,FALSE
"P63000",NA,"turquoise",2,TRUE,FALSE
"P63010","blue","turquoise",3,FALSE,TRUE
"P63104","yellow","red",3,FALSE,FALSE
"P63151",NA,"green",2,FALSE,FALSE
"P63167","turquoise",NA,1,TRUE,FALSE
"P63173","turquoise","blue",3,FALSE,FALSE
"P63208",NA,"yellow",2,FALSE,TRUE
"P63220","turquoise","blue",3,FALSE,TRUE
"P63241",NA,"brown",2,FALSE,FALSE
"P63244","turquoise","yellow",3,TRUE,FALSE
"P63302",NA,"brown",2,FALSE,FALSE
"P63313",NA,"blue",2,FALSE,TRUE
"P63316","turquoise","red",3,FALSE,FALSE
"P67775",NA,"turquoise",2,FALSE,TRUE
"P67809","blue","yellow",3,FALSE,FALSE
"P67936",NA,"brown",2,FALSE,FALSE
"P68036",NA,"green",2,FALSE,TRUE
"P68133",NA,"turquoise",2,FALSE,FALSE
"P68366",NA,"turquoise",2,FALSE,TRUE
"P68371","brown","blue",3,FALSE,FALSE
"P68402",NA,"red",2,FALSE,FALSE
"P68871",NA,"black",2,FALSE,TRUE
"P69891",NA,"brown",2,FALSE,FALSE
"P69905","brown","black",3,TRUE,TRUE
"P78344",NA,"yellow",2,FALSE,FALSE
"P78371","turquoise","yellow",3,FALSE,TRUE
"P78417","blue","yellow",3,FALSE,FALSE
"P78527","brown",NA,1,FALSE,FALSE
"P78559",NA,"yellow",2,FALSE,TRUE
"P80404",NA,"turquoise",2,FALSE,FALSE
"P80748",NA,"black",2,FALSE,FALSE
"P82650","green","brown",3,FALSE,FALSE
"P82909","turquoise","brown",3,FALSE,FALSE
"P82933",NA,"yellow",2,FALSE,FALSE
"P82979","yellow","blue",3,FALSE,FALSE
"P83111",NA,"turquoise",2,FALSE,FALSE
"P83731","turquoise",NA,1,FALSE,FALSE
"P84098","blue","turquoise",3,FALSE,FALSE
"P84103","turquoise","yellow",3,FALSE,FALSE
"P84243",NA,"turquoise",2,FALSE,FALSE
"P98095",NA,"yellow",2,FALSE,FALSE
"P98160","yellow","pink",3,FALSE,TRUE
"P98179",NA,"brown",2,FALSE,FALSE
"P99999","yellow","red",3,FALSE,FALSE
"Q00059",NA,"brown",2,TRUE,FALSE
"Q00325","blue","turquoise",3,FALSE,TRUE
"Q00577",NA,"blue",2,FALSE,TRUE
"Q00610","turquoise","turquoise",3,FALSE,TRUE
"Q00688","turquoise","red",3,FALSE,FALSE
"Q00765",NA,"turquoise",2,FALSE,TRUE
"Q00839","turquoise","blue",3,FALSE,FALSE
"Q01082","blue","turquoise",3,TRUE,FALSE
"Q01105",NA,"yellow",2,FALSE,FALSE
"Q01449","turquoise",NA,1,TRUE,FALSE
"Q01469","blue","brown",3,FALSE,FALSE
"Q01484","green","green",3,TRUE,FALSE
"Q01518","blue","red",3,FALSE,FALSE
"Q01813","turquoise","turquoise",3,FALSE,TRUE
"Q01955",NA,"turquoise",2,FALSE,FALSE
"Q01995","blue","green",3,FALSE,FALSE
"Q02218","brown","turquoise",3,FALSE,FALSE
"Q02221",NA,"blue",2,FALSE,FALSE
"Q02252",NA,"pink",2,FALSE,FALSE
"Q02338",NA,"turquoise",2,FALSE,FALSE
"Q02543","turquoise",NA,1,FALSE,FALSE
"Q02750",NA,"green",2,FALSE,TRUE
"Q02790","turquoise",NA,1,FALSE,FALSE
"Q02809","blue",NA,1,TRUE,FALSE
"Q02818","blue",NA,1,FALSE,FALSE
"Q02878","turquoise","red",3,FALSE,FALSE
"Q02952",NA,"red",2,FALSE,FALSE
"Q02978","brown","turquoise",3,FALSE,TRUE
"Q03135","turquoise","yellow",3,FALSE,FALSE
"Q03252","turquoise","blue",3,FALSE,TRUE
"Q04446","turquoise","turquoise",3,FALSE,TRUE
"Q04695",NA,"yellow",2,FALSE,FALSE
"Q04760","turquoise","brown",3,FALSE,FALSE
"Q04837","brown","brown",3,FALSE,TRUE
"Q04917","brown","blue",3,FALSE,FALSE
"Q05639","turquoise","turquoise",3,FALSE,FALSE
"Q05682",NA,"blue",2,FALSE,FALSE
"Q05707",NA,"red",2,FALSE,FALSE
"Q05823",NA,"yellow",2,FALSE,FALSE
"Q06033","blue",NA,1,FALSE,FALSE
"Q06124",NA,"green",2,FALSE,FALSE
"Q06323","green","green",3,FALSE,FALSE
"Q06828",NA,"red",2,FALSE,FALSE
"Q06830","brown","yellow",3,FALSE,FALSE
"Q07020","turquoise","turquoise",3,FALSE,FALSE
"Q07021","blue","yellow",3,FALSE,TRUE
"Q07065","blue","blue",3,FALSE,TRUE
"Q07157",NA,"red",2,TRUE,TRUE
"Q07343",NA,"blue",2,FALSE,FALSE
"Q07507",NA,"red",2,FALSE,TRUE
"Q07666","blue","brown",3,FALSE,FALSE
"Q07954","blue",NA,1,FALSE,FALSE
"Q07955","yellow","yellow",3,FALSE,FALSE
"Q07960","yellow","turquoise",3,FALSE,FALSE
"Q08043",NA,"pink",2,FALSE,FALSE
"Q08188",NA,"brown",2,FALSE,FALSE
"Q08211","brown","blue",3,FALSE,TRUE
"Q08257","turquoise","red",3,FALSE,FALSE
"Q08380","yellow","brown",3,FALSE,TRUE
"Q08431","brown","turquoise",3,FALSE,FALSE
"Q08495",NA,"turquoise",2,FALSE,FALSE
"Q09666","yellow","yellow",3,FALSE,TRUE
"Q0VDD8",NA,"black",2,FALSE,TRUE
"Q0VF96",NA,"blue",2,FALSE,TRUE
"Q0ZGT2","yellow","blue",3,TRUE,TRUE
"Q10713","green","blue",3,FALSE,FALSE
"Q12805",NA,"green",2,FALSE,FALSE
"Q12849",NA,"brown",2,FALSE,FALSE
"Q12904","turquoise","brown",3,FALSE,FALSE
"Q12905","green",NA,1,FALSE,FALSE
"Q12906","turquoise","yellow",3,TRUE,TRUE
"Q12931","blue","pink",3,FALSE,FALSE
"Q12955","yellow","blue",3,FALSE,FALSE
"Q12988",NA,"blue",2,FALSE,TRUE
"Q13011","green","brown",3,FALSE,TRUE
"Q13045",NA,"turquoise",2,FALSE,FALSE
"Q13098",NA,"yellow",2,FALSE,TRUE
"Q13136",NA,"brown",2,FALSE,FALSE
"Q13148","green",NA,1,FALSE,FALSE
"Q13151","turquoise","red",3,FALSE,FALSE
"Q13162","blue",NA,1,FALSE,FALSE
"Q13177",NA,"blue",2,FALSE,FALSE
"Q13185","yellow",NA,1,FALSE,FALSE
"Q13200","turquoise","brown",3,FALSE,FALSE
"Q13228",NA,"yellow",2,FALSE,FALSE
"Q13263","blue","blue",3,FALSE,FALSE
"Q13310","turquoise","brown",3,FALSE,FALSE
"Q13326",NA,"turquoise",2,TRUE,TRUE
"Q13347","blue","red",3,FALSE,FALSE
"Q13361",NA,"blue",2,FALSE,FALSE
"Q13404",NA,"brown",2,FALSE,FALSE
"Q13409",NA,"yellow",2,FALSE,FALSE
"Q13418","green","pink",3,TRUE,FALSE
"Q13423","blue","turquoise",3,TRUE,FALSE
"Q13424","blue","blue",3,FALSE,FALSE
"Q13425",NA,"turquoise",2,FALSE,FALSE
"Q13442",NA,"red",2,FALSE,FALSE
"Q13464",NA,"yellow",2,TRUE,FALSE
"Q13505",NA,"blue",2,FALSE,FALSE
"Q13509","blue",NA,1,FALSE,FALSE
"Q13510","turquoise","brown",3,FALSE,FALSE
"Q13554",NA,"turquoise",2,FALSE,FALSE
"Q13557","turquoise","turquoise",3,TRUE,TRUE
"Q13561","turquoise","brown",3,FALSE,TRUE
"Q13596",NA,"blue",2,FALSE,FALSE
"Q13642",NA,"green",2,FALSE,FALSE
"Q13683",NA,"green",2,FALSE,FALSE
"Q13796",NA,"brown",2,FALSE,FALSE
"Q13813","turquoise","yellow",3,FALSE,FALSE
"Q13825",NA,"blue",2,FALSE,FALSE
"Q13838","turquoise","pink",3,FALSE,FALSE
"Q13885","blue",NA,1,FALSE,FALSE
"Q13976",NA,"brown",2,FALSE,TRUE
"Q14011","yellow",NA,1,FALSE,FALSE
"Q14103","yellow","yellow",3,TRUE,TRUE
"Q14112","yellow","pink",3,FALSE,FALSE
"Q14118",NA,"brown",2,TRUE,TRUE
"Q14123",NA,"turquoise",2,FALSE,FALSE
"Q14126",NA,"green",2,FALSE,FALSE
"Q14152","turquoise","green",3,FALSE,FALSE
"Q14160",NA,"yellow",2,FALSE,TRUE
"Q14165",NA,"turquoise",2,TRUE,FALSE
"Q14168",NA,"blue",2,FALSE,FALSE
"Q14192","turquoise","brown",3,FALSE,FALSE
"Q14194","turquoise",NA,1,TRUE,FALSE
"Q14195","yellow","green",3,FALSE,FALSE
"Q14203",NA,"yellow",2,FALSE,FALSE
"Q14204","brown","turquoise",3,FALSE,FALSE
"Q14240","yellow","turquoise",3,FALSE,FALSE
"Q14247","yellow","blue",3,TRUE,TRUE
"Q14254","brown","green",3,FALSE,FALSE
"Q14315","turquoise","turquoise",3,TRUE,TRUE
"Q14344",NA,"turquoise",2,FALSE,TRUE
"Q14432",NA,"green",2,TRUE,FALSE
"Q14444","blue",NA,1,FALSE,FALSE
"Q14571",NA,"green",2,TRUE,FALSE
"Q14624",NA,"black",2,FALSE,TRUE
"Q14697","yellow","turquoise",3,FALSE,FALSE
"Q14766",NA,"blue",2,FALSE,FALSE
"Q14767",NA,"blue",2,FALSE,FALSE
"Q14847",NA,"brown",2,FALSE,FALSE
"Q14894",NA,"green",2,FALSE,FALSE
"Q14896","turquoise","blue",3,TRUE,FALSE
"Q14914",NA,"pink",2,FALSE,FALSE
"Q14974","turquoise","turquoise",3,FALSE,TRUE
"Q14980",NA,"yellow",2,FALSE,FALSE
"Q14BN4",NA,"blue",2,FALSE,TRUE
"Q15008",NA,"turquoise",2,FALSE,FALSE
"Q15019","blue","brown",3,FALSE,TRUE
"Q15029","turquoise",NA,1,FALSE,FALSE
"Q15046",NA,"brown",2,FALSE,FALSE
"Q15056",NA,"brown",2,FALSE,FALSE
"Q15063","blue","turquoise",3,TRUE,FALSE
"Q15075",NA,"blue",2,FALSE,FALSE
"Q15084","turquoise","blue",3,FALSE,TRUE
"Q15118","green","blue",3,TRUE,FALSE
"Q15119",NA,"yellow",2,FALSE,FALSE
"Q15121",NA,"brown",2,FALSE,FALSE
