"","Invitro_protein","Biopsies_protein","Protein_detection","Heart_Failure_info_protein","High_MM_Protein"
"O75923",NA,"turquoise",2,FALSE,FALSE
"O75947","brown","brown",3,FALSE,TRUE
"O75955","brown","yellow",3,FALSE,FALSE
"O75964",NA,"brown",2,FALSE,FALSE
"O76041","turquoise","blue",3,FALSE,TRUE
"O76070",NA,"blue",2,FALSE,FALSE
"O94826",NA,"turquoise",2,TRUE,TRUE
"O94874",NA,"turquoise",2,FALSE,TRUE
"O94875","turquoise","blue",3,FALSE,FALSE
"O94903",NA,"blue",2,FALSE,TRUE
"O94905","brown",NA,1,FALSE,FALSE
"O94925","brown","brown",3,FALSE,FALSE
"O94929",NA,"blue",2,FALSE,FALSE
"O94979","blue",NA,1,FALSE,FALSE
"O95057",NA,"turquoise",2,FALSE,FALSE
"O95139",NA,"blue",2,FALSE,FALSE
"O95140",NA,"turquoise",2,TRUE,TRUE
"O95155",NA,"blue",2,FALSE,TRUE
"O95167",NA,"blue",2,FALSE,FALSE
"O95168",NA,"blue",2,FALSE,FALSE
"O95169",NA,"turquoise",2,FALSE,FALSE
"O95182",NA,"blue",2,FALSE,FALSE
"O95202","blue","turquoise",3,FALSE,TRUE
"O95210",NA,"green",2,FALSE,TRUE
"O95292",NA,"turquoise",2,FALSE,TRUE
"O95298",NA,"turquoise",2,FALSE,FALSE
"O95299","brown","turquoise",3,FALSE,FALSE
"O95336","turquoise",NA,1,FALSE,FALSE
"O95425","green","turquoise",3,FALSE,FALSE
"O95563",NA,"turquoise",2,FALSE,TRUE
"O95674",NA,"turquoise",2,TRUE,TRUE
"O95747",NA,"green",2,FALSE,FALSE
"O95757",NA,"brown",2,FALSE,FALSE
"O95810",NA,"blue",2,FALSE,TRUE
"O95816",NA,"red",2,FALSE,TRUE
"O95817","turquoise","blue",3,TRUE,TRUE
"O95822",NA,"turquoise",2,FALSE,TRUE
"O95831","brown","turquoise",3,FALSE,FALSE
"O95834",NA,"turquoise",2,FALSE,FALSE
"O95865",NA,"blue",2,FALSE,TRUE
"O96000","brown","brown",3,FALSE,FALSE
"O96008",NA,"yellow",2,FALSE,TRUE
"P00167",NA,"yellow",2,FALSE,TRUE
"P00325",NA,"yellow",2,FALSE,FALSE
"P00326",NA,"yellow",2,FALSE,TRUE
"P00338","yellow","green",3,FALSE,FALSE
"P00352",NA,"brown",2,FALSE,FALSE
"P00367","brown","brown",3,FALSE,FALSE
"P00387","blue","turquoise",3,FALSE,TRUE
"P00390","turquoise","brown",3,TRUE,FALSE
"P00403","blue","turquoise",3,TRUE,TRUE
"P00441","turquoise","yellow",3,TRUE,FALSE
"P00450",NA,"black",2,TRUE,FALSE
"P00451",NA,"blue",2,FALSE,FALSE
"P00488",NA,"green",2,FALSE,FALSE
"P00491",NA,"yellow",2,FALSE,FALSE
"P00505","brown","brown",3,FALSE,FALSE
"P00558","turquoise","brown",3,TRUE,FALSE
"P00568","turquoise","red",3,FALSE,FALSE
"P00734","brown","black",3,FALSE,FALSE
"P00738",NA,"black",2,TRUE,TRUE
"P00740",NA,"green",2,FALSE,TRUE
"P00747","blue","yellow",3,FALSE,FALSE
"P00751",NA,"black",2,FALSE,FALSE
"P00846",NA,"turquoise",2,FALSE,TRUE
"P00915",NA,"black",2,FALSE,TRUE
"P00918",NA,"black",2,FALSE,TRUE
"P01008","blue","black",3,FALSE,TRUE
"P01009",NA,"black",2,FALSE,FALSE
"P01011",NA,"black",2,FALSE,FALSE
"P01019",NA,"black",2,TRUE,FALSE
"P01023","blue","black",3,FALSE,TRUE
"P01024","blue","red",3,FALSE,FALSE
"P01031",NA,"yellow",2,FALSE,TRUE
"P01040",NA,"blue",2,FALSE,FALSE
"P01042",NA,"black",2,TRUE,FALSE
"P01593",NA,"brown",2,FALSE,FALSE
"P01762",NA,"black",2,FALSE,TRUE
"P01765",NA,"black",2,FALSE,FALSE
"P01769",NA,"yellow",2,FALSE,FALSE
"P01780",NA,"turquoise",2,FALSE,FALSE
"P01781",NA,"brown",2,FALSE,FALSE
"P01825",NA,"yellow",2,FALSE,FALSE
"P01834",NA,"yellow",2,FALSE,FALSE
"P01857",NA,"black",2,FALSE,FALSE
"P01859",NA,"black",2,FALSE,FALSE
"P01860",NA,"yellow",2,FALSE,FALSE
"P01861",NA,"yellow",2,FALSE,FALSE
"P01871",NA,"green",2,FALSE,TRUE
"P01876",NA,"black",2,FALSE,FALSE
"P02042",NA,"black",2,FALSE,FALSE
"P02144","turquoise","brown",3,FALSE,FALSE
"P02452",NA,"yellow",2,TRUE,FALSE
"P02462","yellow","turquoise",3,FALSE,FALSE
"P02511","brown","yellow",3,FALSE,FALSE
"P02533","green","brown",3,FALSE,FALSE
"P02538",NA,"brown",2,FALSE,FALSE
"P02545","turquoise","blue",3,TRUE,TRUE
"P02549",NA,"turquoise",2,FALSE,FALSE
"P02647",NA,"red",2,TRUE,FALSE
"P02649","brown","red",3,TRUE,TRUE
"P02652",NA,"brown",2,FALSE,FALSE
"P02654",NA,"black",2,TRUE,FALSE
"P02671",NA,"green",2,FALSE,FALSE
"P02675",NA,"green",2,FALSE,FALSE
"P02679",NA,"green",2,FALSE,FALSE
"P02730",NA,"turquoise",2,FALSE,FALSE
"P02743",NA,"blue",2,TRUE,FALSE
"P02749","blue","red",3,FALSE,FALSE
"P02750",NA,"black",2,FALSE,FALSE
"P02751","blue","green",3,FALSE,FALSE
"P02760",NA,"blue",2,FALSE,FALSE
"P02763",NA,"black",2,FALSE,FALSE
"P02765","brown","black",3,FALSE,FALSE
"P02766",NA,"brown",2,TRUE,TRUE
"P02768","blue","black",3,TRUE,FALSE
"P02771","blue",NA,1,FALSE,TRUE
"P02774","blue","blue",3,TRUE,TRUE
"P02775",NA,"black",2,FALSE,FALSE
"P02786","blue",NA,1,TRUE,FALSE
"P02787","brown","red",3,TRUE,FALSE
"P02788","blue",NA,1,FALSE,TRUE
"P02790",NA,"black",2,FALSE,FALSE
"P03915",NA,"turquoise",2,TRUE,FALSE
"P03928",NA,"blue",2,FALSE,FALSE
"P04004","brown","yellow",3,FALSE,FALSE
"P04040",NA,"brown",2,TRUE,FALSE
"P04075","yellow","brown",3,FALSE,TRUE
"P04080",NA,"brown",2,FALSE,FALSE
"P04083","blue","red",3,FALSE,FALSE
"P04114","yellow","yellow",3,FALSE,FALSE
"P04179","blue","brown",3,TRUE,FALSE
"P04196",NA,"red",2,FALSE,FALSE
"P04217",NA,"turquoise",2,FALSE,FALSE
"P04259",NA,"brown",2,FALSE,FALSE
"P04264","yellow","brown",3,FALSE,FALSE
"P04275",NA,"turquoise",2,TRUE,FALSE
"P04350",NA,"blue",2,FALSE,FALSE
"P04406","turquoise","brown",3,FALSE,FALSE
"P04632","blue","turquoise",3,FALSE,FALSE
"P04792","yellow","blue",3,TRUE,TRUE
"P04843","blue","turquoise",3,FALSE,FALSE
"P04844","blue","turquoise",3,FALSE,FALSE
"P04899","brown","turquoise",3,FALSE,TRUE
"P05023","yellow","turquoise",3,FALSE,TRUE
"P05026","blue","turquoise",3,FALSE,TRUE
"P05091","brown","blue",3,TRUE,FALSE
"P05106",NA,"turquoise",2,FALSE,FALSE
"P05109",NA,"brown",2,FALSE,FALSE
"P05141","green","turquoise",3,FALSE,TRUE
"P05155",NA,"black",2,FALSE,TRUE
"P05156",NA,"black",2,FALSE,FALSE
"P05165","blue","brown",3,FALSE,FALSE
"P05166","blue","brown",3,FALSE,FALSE
"P05198","red","yellow",3,FALSE,TRUE
"P05204",NA,"blue",2,FALSE,TRUE
"P05386",NA,"red",2,FALSE,TRUE
"P05387","turquoise","red",3,FALSE,TRUE
"P05388","brown","brown",3,FALSE,FALSE
"P05413","turquoise","yellow",3,FALSE,FALSE
"P05455","green","turquoise",3,FALSE,FALSE
"P05546",NA,"green",2,FALSE,FALSE
"P05556","green","turquoise",3,TRUE,TRUE
"P05783","yellow",NA,1,FALSE,FALSE
"P05787","yellow",NA,1,FALSE,FALSE
"P05976",NA,"blue",2,FALSE,FALSE
"P06396","blue","red",3,TRUE,FALSE
"P06454",NA,"red",2,FALSE,TRUE
"P06576","brown","brown",3,FALSE,TRUE
"P06702",NA,"brown",2,FALSE,FALSE
"P06703",NA,"blue",2,FALSE,FALSE
